u0_opt,u1_opt,u2_opt
0.5,0.199605,1.11132
0.5,0.196115,1.32012
0.5,0.192624,1.54465
0.5,0.189133,1.77568
0.5,0.185643,2.00637
0.5,0.182152,2.23005
0.5,0.178661,2.44346
0.5,0.175171,2.27344
0.5,0.175153,2.17786
0.500001,0.143635,0.349066
0.500001,0.140144,0.349066
0.500001,0.143635,0.349066
0.500001,0.147126,0.349066
0.500001,0.150616,0.349066
0.500001,0.154107,0.349066
0.500001,0.157598,0.349066
0.500001,0.161088,0.349066
0.500001,0.164579,0.349066
0.500001,0.16807,0.349066
0.500001,0.17156,0.349066
0.500001,0.175051,0.349066
0.500001,0.178542,0.349066
0.500001,0.182032,0.349066
0.500001,0.185523,0.349066
0.500001,0.189014,0.349066
0.500001,0.192504,0.349066
0.500001,0.195995,0.349066
0.500001,0.199486,0.349066
0.500001,0.202976,0.363102
0.500001,0.206467,0.388813
0.500001,0.209958,0.440164
0.500001,0.213448,0.526494
0.500001,0.209958,0.633028
0.500001,0.206467,0.766366
0.500001,0.202976,0.92706
0.500001,0.199486,1.11378
0.500001,0.195995,1.32259
0.500001,0.192504,1.54694
0.500001,0.189014,1.77769
0.500001,0.185523,2.00788
0.500001,0.182032,2.23089
0.500001,0.178542,2.44346
0.500001,0.175051,2.32224
0.500001,0.175066,2.21408
0.478542,0.143507,0.349066
0.478542,0.140016,0.349066
0.478542,0.143507,0.349066
0.478542,0.146997,0.349066
0.478542,0.150488,0.349066
0.478542,0.153979,0.349066
0.478542,0.157469,0.349066
0.478542,0.16096,0.349066
0.478542,0.164451,0.349066
0.478542,0.167941,0.349066
0.478542,0.171432,0.349066
0.478542,0.174923,0.349066
0.478542,0.178413,0.349066
0.478542,0.181904,0.349066
0.478542,0.185395,0.349066
0.478542,0.188885,0.349066
0.478542,0.192376,0.349066
0.478542,0.195867,0.349066
0.478542,0.199357,0.349066
0.478542,0.202848,0.363106
0.478542,0.206339,0.386754
0.478542,0.209829,0.441641
0.478542,0.21332,0.528135
0.478542,0.209829,0.634892
