z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.2,10.25,28,0.243348,0.175754,1.39414,-0.138372,1.81621,6,0.245567,5.82,1.45864,-0.000308159,1.4408,-0.0698132
1.2,10.25,29,0.243348,0.172263,1.61465,-0.0219718,1.84539,6,0.10245,5.96854,0.613624,0.0292489,1.44868,0.0698132
1.2,10.25,30,0.243348,0.168772,1.83797,0.0973989,1.85766,6,0.0989592,5.97065,0.592786,0.0581014,1.4596,0.0698132
1.2,10.25,31,0.243348,0.165282,2.05413,0.216812,1.86952,6,0.0954685,5.97268,0.571941,0.0917252,1.48958,0.0698132
1.2,10.25,32,0.243348,0.161791,2.25691,0.336265,1.88095,6,0.0919778,5.97464,0.551089,0.136013,1.53469,0.0698132
1.2,10.25,33,0.243348,0.1583,2.44346,0.455758,1.89198,10,0.0884872,9.96088,0.883717,0.193703,1.58977,0.0698132
1.2,10.25,34,0.243348,0.158283,2.29021,0.654976,1.90965,6.27208,0.155334,6.19656,0.970356,0.442119,1.57099,0.00294872
1.2,10.5,0,0.267641,0.142173,0.349066,-5,1.2,10.5,-1.27649e-34,10.5,-1.34031e-33,-4.60853,1.11783,0.142173
1.2,10.5,1,0.267641,0.138682,0.349066,-4.79,1.2,10,0.0688693,9.97629,0.688148,-4.39882,1.11647,0.0698132
1.2,10.5,2,0.267641,0.142173,0.349066,-4.59047,1.21376,10,0.0723599,9.97383,0.722968,-4.199,1.1316,0.0698132
1.2,10.5,3,0.267641,0.145664,0.349066,-4.391,1.22822,10,0.0758506,9.97125,0.757779,-3.99924,1.14742,0.0698132
1.2,10.5,4,0.267641,0.149154,0.349066,-4.19157,1.24338,10,0.0793413,9.96854,0.79258,-3.79954,1.16394,0.0698132
1.2,10.5,5,0.267641,0.152645,0.349066,-3.9922,1.25923,10,0.0828319,9.96571,0.827372,-3.59989,1.18117,0.0698132
1.2,10.5,6,0.267641,0.156136,0.349066,-3.79289,1.27578,10,0.0863226,9.96277,0.862154,-3.40031,1.19908,0.0698132
1.2,10.5,7,0.267641,0.159626,0.349066,-3.59363,1.29302,10,0.0898133,9.9597,0.896926,-3.20079,1.2177,0.0698132
1.2,10.5,8,0.267641,0.163117,0.349066,-3.39444,1.31096,10,0.0933039,9.9565,0.931686,-3.00133,1.23701,0.0698132
1.2,10.5,9,0.267641,0.166608,0.349066,-3.19531,1.32959,10,0.0967946,9.95319,0.966435,-2.80195,1.25701,0.0698132
1.2,10.5,10,0.267641,0.170098,0.349066,-2.99624,1.34892,10,0.100285,9.94976,1.00117,-2.60263,1.27772,0.0698132
1.2,10.5,11,0.267641,0.173589,0.349066,-2.79725,1.36894,10,0.103776,9.9462,1.0359,-2.40339,1.29911,0.0698132
1.2,10.5,12,0.267641,0.17708,0.349066,-2.59833,1.38966,10,0.107267,9.94252,1.07061,-2.20423,1.32121,0.0698132
1.2,10.5,13,0.267641,0.18057,0.349066,-2.39947,1.41107,10,0.110757,9.93873,1.10531,-2.00514,1.34399,0.0698132
1.2,10.5,14,0.267641,0.184061,0.349066,-2.2007,1.43318,10,0.114248,9.93481,1.14,-1.80613,1.36748,0.0698132
1.2,10.5,15,0.267641,0.187552,0.349066,-2.002,1.45598,10,0.117739,9.93077,1.17467,-1.60721,1.39166,0.0698132
1.2,10.5,16,0.267641,0.191042,0.349066,-1.80339,1.47947,10,0.121229,9.92661,1.20933,-1.40837,1.41653,0.0698132
1.2,10.5,17,0.267641,0.194533,0.349066,-1.60486,1.50366,10,0.12472,9.92233,1.24397,-1.20962,1.44209,0.0698132
1.2,10.5,18,0.267641,0.198024,0.349066,-1.40641,1.52854,10,0.128211,9.91792,1.2786,-1.01096,1.46835,0.0698132
1.2,10.5,19,0.267641,0.194533,0.349066,-1.20805,1.55411,7.25358,0.12472,7.19723,0.902322,-0.812818,1.49254,0.0698132
1.2,10.5,20,0.267641,0.198024,0.352084,-1.06411,1.57216,6,0.267837,5.78607,1.58788,-0.668844,1.51078,-0.0698132
1.2,10.5,21,0.267641,0.19673,0.399391,-0.948385,1.60392,6,0.266543,5.78812,1.58039,-0.556572,1.52341,-0.0698132
1.2,10.5,22,0.267641,0.193239,0.468201,-0.832623,1.63552,6,0.263052,5.7936,1.56017,-0.447649,1.52692,-0.0698132
1.2,10.5,23,0.267641,0.189749,0.560706,-0.716751,1.66673,6,0.259562,5.79902,1.53994,-0.343959,1.52172,-0.0698132
1.2,10.5,24,0.267641,0.186258,0.678379,-0.60077,1.69753,6,0.256071,5.80436,1.51969,-0.248237,1.50853,-0.0698132
1.2,10.5,25,0.267641,0.182767,0.822342,-0.484683,1.72792,6,0.25258,5.80962,1.49942,-0.163744,1.48918,-0.0698132
1.2,10.5,26,0.267641,0.179277,0.992244,-0.368491,1.75791,6,0.24909,5.81482,1.47913,-0.0935523,1.46738,-0.0698132
1.2,10.5,27,0.267641,0.175786,1.18534,-0.252194,1.78749,6,0.245599,5.81995,1.45882,-0.0392978,1.44885,-0.0698132
1.2,10.5,28,0.267641,0.172295,1.39605,-0.135795,1.81667,6,0.242108,5.82501,1.4385,0.000250765,1.44051,-0.0698132
1.2,10.5,29,0.267641,0.168805,1.61644,-0.0192952,1.84544,6,0.0989913,5.97063,0.592978,0.0298445,1.44847,0.0698132
1.2,10.5,30,0.267641,0.165314,1.83955,0.100117,1.8573,6,0.0955007,5.97266,0.572133,0.0588147,1.45943,0.0698132
1.2,10.5,31,0.267641,0.161823,2.05534,0.21957,1.86874,6,0.09201,5.97462,0.551281,0.0927113,1.48939,0.0698132
1.2,10.5,32,0.267641,0.158332,2.2576,0.339063,1.87977,6,0.0885193,5.97651,0.530423,0.137378,1.53433,0.0698132
1.2,10.5,33,0.267641,0.154842,2.44346,0.458593,1.89037,10,0.0850287,9.96387,0.849263,0.195495,1.58908,0.0698132
1.2,10.5,34,0.267641,0.154497,2.40113,0.657871,1.90736,6.0589,0.103003,6.02678,0.622982,0.407649,1.59529,0.0514938
1.2,10.75,0,0.5,0.142388,0.349066,-5,1.2,10.75,-1.27327e-36,10.75,-1.36877e-35,-4.60851,1.11792,0.142388
1.2,10.75,1,0.5,0.138897,0.349066,-4.785,1.2,10,0.069084,9.97615,0.690291,-4.3938,1.11655,0.0698132
1.2,10.75,2,0.5,0.142388,0.349066,-4.58548,1.21381,10,0.0725747,9.97368,0.72511,-4.19399,1.13172,0.0698132
1.2,10.75,3,0.5,0.145879,0.349066,-4.386,1.22831,10,0.0760654,9.97108,0.759921,-3.99423,1.14759,0.0698132
1.2,10.75,4,0.5,0.149369,0.349066,-4.18658,1.24351,10,0.0795561,9.96837,0.794722,-3.79453,1.16416,0.0698132
1.2,10.75,5,0.5,0.15286,0.349066,-3.98721,1.2594,10,0.0830467,9.96554,0.829513,-3.59489,1.18142,0.0698132
1.2,10.75,6,0.5,0.156351,0.349066,-3.7879,1.27599,10,0.0865374,9.96258,0.864294,-3.39531,1.19938,0.0698132
1.2,10.75,7,0.5,0.159841,0.349066,-3.58865,1.29328,10,0.0900281,9.9595,0.899065,-3.19579,1.21804,0.0698132
1.2,10.75,8,0.5,0.163332,0.349066,-3.38946,1.31126,10,0.0935187,9.9563,0.933825,-2.99634,1.23739,0.0698132
1.2,10.75,9,0.5,0.166823,0.349066,-3.19034,1.32993,10,0.0970094,9.95298,0.968573,-2.79696,1.25744,0.0698132
1.2,10.75,10,0.5,0.170313,0.349066,-2.99128,1.34931,10,0.1005,9.94954,1.00331,-2.59765,1.27819,0.0698132
1.2,10.75,11,0.5,0.173804,0.349066,-2.79229,1.36937,10,0.103991,9.94598,1.03803,-2.39841,1.29963,0.0698132
1.2,10.75,12,0.5,0.177295,0.349066,-2.59337,1.39013,10,0.107481,9.94229,1.07275,-2.19925,1.32176,0.0698132
1.2,10.75,13,0.5,0.180785,0.349066,-2.39452,1.41159,10,0.110972,9.93849,1.10744,-2.00017,1.34459,0.0698132
1.2,10.75,14,0.5,0.184276,0.349066,-2.19575,1.43374,10,0.114463,9.93456,1.14213,-1.80117,1.36812,0.0698132
1.2,10.75,15,0.5,0.187767,0.349066,-1.99706,1.45658,10,0.117953,9.93052,1.1768,-1.60225,1.39234,0.0698132
1.2,10.75,16,0.5,0.191257,0.349066,-1.79845,1.48012,10,0.121444,9.92635,1.21146,-1.40342,1.41725,0.0698132
1.2,10.75,17,0.5,0.194748,0.349066,-1.59992,1.50434,10,0.124935,9.92206,1.2461,-1.20468,1.44286,0.0698132
1.2,10.75,18,0.5,0.198239,0.349066,-1.40148,1.52927,10,0.128425,9.91765,1.28073,-1.00602,1.46916,0.0698132
1.2,10.75,19,0.5,0.194748,0.349143,-1.20313,1.55488,7.10355,0.124935,7.04819,0.885174,-0.807886,1.49337,0.0698132
1.2,10.75,20,0.5,0.198239,0.351459,-1.06216,1.57258,6,0.268052,5.78573,1.58912,-0.66685,1.51154,-0.0698132
1.2,10.75,21,0.5,0.19632,0.399109,-0.946449,1.60437,6,0.266133,5.78877,1.57802,-0.554646,1.52381,-0.0698132
1.2,10.75,22,0.5,0.19283,0.468513,-0.830674,1.63593,6,0.262643,5.79424,1.5578,-0.445778,1.52705,-0.0698132
1.2,10.75,23,0.5,0.189339,0.561512,-0.714789,1.66708,6,0.259152,5.79965,1.53757,-0.342173,1.52163,-0.0698132
1.2,10.75,24,0.5,0.185848,0.679626,-0.598796,1.69783,6,0.255661,5.80498,1.51731,-0.246577,1.50825,-0.0698132
1.2,10.75,25,0.5,0.182358,0.823987,-0.482697,1.72818,6,0.252171,5.81024,1.49704,-0.162248,1.48878,-0.0698132
1.2,10.75,26,0.5,0.178867,0.994222,-0.366492,1.75812,6,0.24868,5.81543,1.47675,-0.0922479,1.46693,-0.0698132
