x,y,z
126.103,32.9805,-10.7649
126.034,31.9995,-10.7643
125.992,31.3865,-10.7637
125.925,30.4056,-10.7626
125.892,29.9152,-10.7621
125.827,28.9344,-10.7608
125.788,28.3214,-10.7602
125.726,27.3409,-10.7606
125.695,26.8507,-10.7606
125.635,25.8702,-10.7603
125.597,25.2575,-10.76
125.539,24.2771,-10.7595
125.51,23.7869,-10.7592
125.453,22.8065,-10.7584
125.418,22.1937,-10.758
125.365,21.2159,-10.7597
125.339,20.7268,-10.7603
125.287,19.7482,-10.7615
125.255,19.1364,-10.7619
125.204,18.1573,-10.762
125.179,17.6676,-10.762
125.13,16.688,-10.7617
125.1,16.0754,-10.7612
125.056,15.0944,-10.7603
125.034,14.6039,-10.7596
124.991,13.6227,-10.758
124.964,13.0094,-10.7569
124.921,12.028,-10.7547
124.9,11.5372,-10.7534
124.858,10.5555,-10.7508
124.832,9.9418,-10.7491
124.797,8.95898,-10.7458
124.78,8.46763,-10.7442
124.745,7.48502,-10.7413
124.723,6.87098,-10.7397
124.688,5.88859,-10.7372
124.67,5.3974,-10.7361
124.635,4.415,-10.7341
124.614,3.80097,-10.7329
124.585,2.81854,-10.733
124.57,2.32734,-10.7329
124.541,1.34487,-10.7328
124.522,0.730852,-10.7326
124.492,-0.251465,-10.7324
124.477,-0.742642,-10.7323
124.447,-1.72509,-10.7322
124.428,-2.33916,-10.7321
124.403,-3.31947,-10.7326
124.39,-3.80975,-10.7328
124.364,-4.79059,-10.7326
124.347,-5.40376,-10.7323
124.32,-6.38518,-10.7314
124.307,-6.87601,-10.7308
124.28,-7.85779,-10.7295
124.263,-8.47215,-10.7283
124.24,-9.45891,-10.7256
124.229,-9.95199,-10.7243
124.205,-10.9376,-10.7222
124.19,-11.5534,-10.7208
124.165,-12.5383,-10.7188
124.153,-13.0307,-10.7178
124.128,-14.0152,-10.7159
124.112,-14.6304,-10.7147
124.09,-15.6148,-10.713
124.079,-16.1069,-10.7122
124.056,-17.0908,-10.7105
124.041,-17.7056,-10.7096
124.017,-18.6892,-10.7081
124.005,-19.1809,-10.7074
123.981,-20.1643,-10.706
123.967,-20.7797,-10.7051
123.946,-21.7691,-10.7024
123.936,-22.2634,-10.7012
123.914,-23.2511,-10.6991
123.9,-23.868,-10.698
123.878,-24.8543,-10.6964
123.867,-25.3472,-10.6956
123.844,-26.3327,-10.6943
123.83,-26.9492,-10.6933
123.811,-27.9393,-10.6911
123.801,-28.4339,-10.6901
123.78,-29.4224,-10.6884
123.767,-30.0398,-10.6876
123.746,-31.0272,-10.6865
123.735,-31.5206,-10.6859
123.713,-32.5072,-10.685
123.699,-33.1236,-10.6846
123.68,-34.1115,-10.6821
123.67,-34.6052,-10.6811
123.65,-35.5922,-10.6795
123.637,-36.2088,-10.6787
123.617,-37.1951,-10.6778
123.606,-37.6881,-10.6774
123.584,-38.6739,-10.6766
123.571,-39.2898,-10.6761
123.549,-40.2767,-10.6737
123.538,-40.7699,-10.6727
123.516,-41.7559,-10.6711
123.502,-42.372,-10.6703
123.479,-43.3575,-10.6693
123.468,-43.8502,-10.6689
123.445,-44.8356,-10.6682
123.431,-45.4519,-10.6675
123.409,-46.4406,-10.6644
123.399,-46.9347,-10.6631
123.377,-47.9223,-10.6609
123.363,-48.5392,-10.6598
123.341,-49.5258,-10.6584
123.33,-50.019,-10.6578
123.307,-51.0051,-10.6569
123.293,-51.6213,-10.6564
123.27,-52.6113,-10.6526
123.259,-53.1059,-10.651
123.236,-54.0945,-10.6482
123.222,-54.7121,-10.6464
123.199,-55.7,-10.6438
123.187,-56.1938,-10.6427
123.164,-57.1812,-10.6408
123.149,-57.799,-10.6394
123.125,-58.7922,-10.6351
123.113,-59.2882,-10.6333
123.089,-60.2794,-10.6303
123.074,-60.8984,-10.6289
123.05,-61.888,-10.6271
123.039,-62.3826,-10.6264
123.015,-63.3712,-10.6255
123,-63.9894,-10.6248
122.976,-64.9813,-10.6219
122.964,-65.4768,-10.6206
122.94,-66.4671,-10.6188
122.925,-67.0857,-10.6181
122.901,-68.0747,-10.6171
122.889,-68.5689,-10.6169
122.865,-69.5572,-10.6166
122.85,-70.1752,-10.6162
122.826,-71.1665,-10.6134
122.814,-71.6617,-10.6124
122.79,-72.6515,-10.6109
122.775,-73.2697,-10.6101
122.751,-74.2584,-10.6093
122.727,-75.2466,-10.609
122.715,-75.7406,-10.609
122.686,-76.8535,-10.6068
122.672,-77.3485,-10.6052
122.643,-78.3366,-10.6029
122.626,-78.8295,-10.6023
122.583,-79.9347,-10.6026
122.561,-80.4238,-10.6038
122.507,-81.3983,-10.608
122.476,-81.8837,-10.611
122.397,-82.9739,-10.6175
122.357,-83.4576,-10.6203
122.263,-84.4215,-10.6275
122.209,-84.9017,-10.6319
122.068,-85.9779,-10.6436
121.996,-86.4542,-10.6495
121.835,-87.4034,-10.6622
121.746,-87.8759,-10.669
121.529,-88.9363,-10.6817
121.425,-89.4055,-10.687
121.196,-90.3383,-10.6988
121.072,-90.8016,-10.7051
120.768,-91.8361,-10.7204
120.622,-92.2923,-10.7275
120.312,-93.1975,-10.742
120.147,-93.6464,-10.7494
119.758,-94.6497,-10.763
119.577,-95.092,-10.7679
119.196,-95.9679,-10.7779
118.995,-96.4013,-10.7829
118.52,-97.3649,-10.7937
118.299,-97.7873,-10.7981
117.834,-98.6196,-10.806
117.59,-99.0289,-10.8094
117.02,-99.9361,-10.8127
116.755,-100.331,-10.813
116.198,-101.102,-10.8141
115.906,-101.477,-10.8151
115.218,-102.291,-10.819
114.897,-102.64,-10.8216
114.232,-103.311,-10.8284
113.887,-103.634,-10.8325
113.09,-104.336,-10.8392
112.726,-104.636,-10.8418
111.975,-105.205,-10.8493
111.59,-105.474,-10.8538
110.698,-106.043,-10.8653
110.293,-106.278,-10.8707
109.464,-106.717,-10.882
109.042,-106.921,-10.8878
108.076,-107.349,-10.8973
107.64,-107.527,-10.8998
106.757,-107.847,-10.9059
106.309,-107.989,-10.9094
105.292,-108.265,-10.918
104.835,-108.368,-10.922
103.914,-108.54,-10.9302
103.451,-108.608,-10.9343
102.401,-108.728,-10.9378
101.931,-108.764,-10.9376
100.991,-108.802,-10.9378
100.52,-108.804,-10.9379
99.4637,-108.764,-10.9383
98.9954,-108.728,-10.9385
98.0626,-108.622,-10.9384
97.5985,-108.552,-10.9382
96.5539,-108.363,-10.9323
96.0909,-108.263,-10.928
95.1737,-108.03,-10.9198
94.7198,-107.898,-10.9158
93.7114,-107.562,-10.9067
93.2693,-107.396,-10.9026
92.3971,-107.034,-10.8939
91.9674,-106.839,-10.8894
91.0111,-106.371,-10.8744
90.5907,-106.152,-10.8654
89.7657,-105.685,-10.848
89.3613,-105.438,-10.8396
88.4717,-104.849,-10.8207
88.0857,-104.573,-10.8122
87.3315,-103.998,-10.7952
86.9633,-103.699,-10.7866
86.1514,-102.997,-10.762
85.7988,-102.673,-10.7495
85.1137,-102.005,-10.7254
84.7813,-101.66,-10.7135
84.058,-100.862,-10.6869
83.7475,-100.497,-10.6751
83.1472,-99.7503,-10.6516
82.8572,-99.3684,-10.6397
82.2229,-98.4859,-10.6083
81.95,-98.0843,-10.593
81.4259,-97.2673,-10.5628
81.1746,-96.8521,-10.5479
80.635,-95.9028,-10.5151
80.4067,-95.4744,-10.5008
79.971,-94.6066,-10.4726
79.7635,-94.1674,-10.4588
79.3161,-93.1654,-10.4241
79.1267,-92.7146,-10.4078
78.7683,-91.8043,-10.3761
78.5994,-91.3451,-10.3606
78.2435,-90.3029,-10.3262
78.096,-89.836,-10.3113
77.82,-88.8957,-10.282
77.6914,-88.4226,-10.2676
77.421,-87.3495,-10.2323
77.3096,-86.8692,-10.2158
77.1047,-85.9044,-10.1838
77.011,-85.42,-10.1683
76.8209,-84.3257,-10.1347
76.7454,-83.8375,-10.1202
76.6103,-82.8582,-10.092
76.5506,-82.3673,-10.0783
76.4326,-81.2592,-10.046
76.3875,-80.7654,-10.0315
76.3118,-79.776,-10.0039
76.2809,-79.2806,-9.99079
76.2279,-78.1643,-9.96292
76.2114,-77.6676,-9.9512
76.1908,-76.6733,-9.92899
76.1866,-76.1758,-9.91853
76.1902,-75.0566,-9.89491
76.1972,-74.5593,-9.88437
76.2223,-73.5642,-9.86501
76.2401,-73.0664,-9.85612
76.2924,-71.9464,-9.83797
76.3208,-71.4485,-9.83069
76.3868,-70.4528,-9.81739
76.4242,-69.9551,-9.81133
76.5201,-68.8341,-9.7987
76.5675,-68.3356,-9.79352
76.6693,-67.3394,-9.78429
76.7237,-66.8416,-9.78018
76.8541,-65.7224,-9.77225
76.9154,-65.2252,-9.76935
77.0438,-64.2317,-9.76464
77.1107,-63.7352,-9.76281
77.2682,-62.6195,-9.75868
77.341,-62.1241,-9.75705
77.4909,-61.1338,-9.75491
77.568,-60.639,-9.75428
77.7461,-59.5262,-9.75424
77.8274,-59.032,-9.75494
77.9932,-58.0439,-9.75765
78.0778,-57.5502,-9.75953
78.2717,-56.4414,-9.76414
78.3595,-55.9494,-9.7664
78.5373,-54.9656,-9.77176
78.6271,-54.4739,-9.77481
78.8317,-53.368,-9.78256
78.9236,-52.8766,-9.78631
79.1088,-51.894,-9.7942
79.2021,-51.4028,-9.7984
79.4128,-50.2998,-9.80608
79.5069,-49.8103,-9.80905
79.6958,-48.8312,-9.81559
79.7906,-48.3417,-9.81927
80.0047,-47.2402,-9.82844
80.1,-46.7507,-9.83289
80.2909,-45.7714,-9.84207
80.3864,-45.2818,-9.84695
80.6017,-44.1832,-9.85683
80.6975,-43.6963,-9.86063
80.889,-42.7218,-9.86861
80.9845,-42.2341,-9.87272
81.1989,-41.1361,-9.88222
81.2939,-40.6478,-9.8866
81.4833,-39.6704,-9.8955
81.5776,-39.1814,-9.89993
81.7893,-38.0816,-9.90723
81.8831,-37.593,-9.90978
82.0695,-36.6152,-9.91536
82.1622,-36.126,-9.91832
82.3691,-35.0246,-9.92543
82.4604,-34.5349,-9.92872
82.6416,-33.5547,-9.93511
82.7315,-33.0644,-9.93835
82.9302,-31.9623,-9.94415
83.0172,-31.4728,-9.94634
83.1899,-30.4931,-9.95112
83.2756,-30.0029,-9.95373
83.4667,-28.8993,-9.96013
83.5509,-28.4086,-9.96318
83.7179,-27.4267,-9.96952
83.8006,-26.9356,-9.97273
83.9833,-25.8326,-9.9787
84.063,-25.3435,-9.98062
84.2209,-24.3643,-9.98487
84.2992,-23.8742,-9.98721
84.4735,-22.7705,-9.99258
84.5501,-22.2795,-9.99489
84.7018,-21.2967,-9.9994
84.7956,-20.682,-10.0024
84.9418,-19.6975,-10.006
85.0137,-19.205,-10.0075
85.156,-18.2195,-10.0106
85.2264,-17.7266,-10.0122
85.383,-16.617,-10.0163
85.4518,-16.1236,-10.0183
85.5876,-15.1365,-10.0227
85.6547,-14.6428,-10.025
85.8006,-13.531,-10.0293
85.8636,-13.0365,-10.031
85.9885,-12.0476,-10.0344
86.0503,-11.5531,-10.0361
86.1878,-10.4403,-10.0402
86.2481,-9.94573,-10.042
86.3675,-8.95645,-10.0457
86.4264,-8.46168,-10.0476
86.5538,-7.34882,-10.0514
86.6079,-6.8544,-10.0529
86.7153,-5.86535,-10.0562
86.7686,-5.37072,-10.0579
86.8873,-4.2575,-10.0618
86.9394,-3.76255,-10.0636
87.0427,-2.77239,-10.0673
87.0938,-2.27717,-10.0692
87.203,-1.16357,-10.0726
87.2497,-0.668843,-10.0739
87.3425,0.320856,-10.0767
87.3887,0.815848,-10.0782
87.4915,1.92995,-10.0816
87.5369,2.42521,-10.0831
87.6267,3.41588,-10.0864
87.6712,3.91129,-10.0881
87.7662,5.0274,-10.0904
87.8068,5.52389,-10.0909
87.8875,6.51683,-10.092
87.9277,7.01325,-10.0926
88.0173,8.13014,-10.0942
88.0568,8.62652,-10.095
88.1351,9.61927,-10.0967
88.1739,10.1156,-10.0975
88.2562,11.2333,-10.0986
88.2913,11.7303,-10.0988
88.3614,12.724,-10.0993
88.3963,13.2208,-10.0997
88.4744,14.3383,-10.1007
88.5089,14.8348,-10.1011
88.5772,15.8279,-10.1022
88.6111,16.3245,-10.1028
88.6832,17.4427,-10.1044
88.7139,17.9399,-10.1052
88.7753,18.9341,-10.1067
88.8059,19.431,-10.1073
88.8743,20.5489,-10.1087
88.9046,21.0456,-10.1093
88.9648,22.039,-10.1101
88.9947,22.5356,-10.1106
89.059,23.6539,-10.113
89.0866,24.1512,-10.1144
89.1419,25.1455,-10.117
89.1694,25.6424,-10.1181
89.2313,26.7605,-10.1202
89.2586,27.2574,-10.121
89.3132,28.251,-10.1223
89.3403,28.7478,-10.1227
89.3999,29.8672,-10.124
89.4258,30.365,-10.1248
89.4774,31.3604,-10.126
89.5031,31.8579,-10.1265
89.5606,32.9768,-10.1274
89.586,33.474,-10.1277
89.6367,34.4682,-10.1281
89.6618,34.9653,-10.1283
89.7164,36.0837,-10.1286
89.7402,36.5807,-10.1285
89.7876,37.5746,-10.1281
89.8113,38.0715,-10.1277
89.8644,39.1895,-10.1264
89.888,39.6863,-10.1258
89.9349,40.6798,-10.1243
89.9582,41.1765,-10.1236
90.0095,42.2957,-10.1232
90.0318,42.7935,-10.1234
90.0764,43.7886,-10.1235
90.0987,44.286,-10.1234
90.1485,45.4048,-10.1232
90.1706,45.9019,-10.1231
90.2147,46.8961,-10.1225
90.2368,47.3931,-10.122
90.2869,48.5124,-10.1225
90.3092,49.0101,-10.123
90.3536,50.0051,-10.1238
90.3757,50.5024,-10.124
90.4252,51.6211,-10.1239
90.447,52.1182,-10.1236
90.4906,53.1121,-10.1226
90.5123,53.6089,-10.122
90.5614,54.7292,-10.1225
90.5832,55.2278,-10.1232
90.6267,56.2243,-10.1241
90.6484,56.7223,-10.1244
90.6968,57.8423,-10.1245
90.7183,58.3398,-10.1245
90.7611,59.3346,-10.1238
90.7824,59.8318,-10.1233
90.8296,60.9519,-10.124
90.8504,61.4501,-10.1249
90.8918,62.4458,-10.1262
90.9123,62.9435,-10.1266
90.9584,64.0626,-10.1267
90.9788,64.5599,-10.1266
91.0194,65.554,-10.1262
91.0397,66.0509,-10.126
91.0854,67.1704,-10.1277
91.1058,67.6683,-10.1292
91.1463,68.6634,-10.1315
91.1916,69.7822,-10.1335
91.2117,70.2793,-10.1341
91.2518,71.2731,-10.1352
91.2717,71.7698,-10.1356
91.3169,72.8873,-10.1364
91.3381,73.3847,-10.1386
91.3799,74.3789,-10.1422
91.4007,74.8758,-10.1437
91.447,75.9931,-10.1465
91.4675,76.4894,-10.1474
91.5081,77.4818,-10.1491
91.5283,77.9778,-10.1497
91.5484,78.4738,-10.1502
91.5958,79.5891,-10.1529
91.618,80.0846,-10.1546
91.6617,81.0755,-10.157
91.6833,81.5709,-10.1579
91.7314,82.6855,-10.159
91.7526,83.1808,-10.1593
91.7944,84.1716,-10.1594
91.8152,84.667,-10.1592
91.8626,85.7866,-10.1608
91.8838,86.2855,-10.162
91.9258,87.2822,-10.1639
91.9723,88.4022,-10.1654
91.9928,88.8995,-10.1659
92.0333,89.8936,-10.1665
92.0535,90.3904,-10.1668
92.0987,91.508,-10.1678
92.1196,92.0058,-10.1698
92.1607,93.0007,-10.173
92.1811,93.4977,-10.1744
92.2264,94.6153,-10.1768
92.2464,95.1117,-10.1776
92.286,96.1038,-10.1789
92.3056,96.5996,-10.1793
92.3501,97.7154,-10.1806
92.3711,98.2135,-10.1825
92.4126,99.2087,-10.1857
92.4332,99.7058,-10.187
92.479,100.823,-10.1894
92.4991,101.32,-10.1902
92.5191,102.312,-10.1917
92.5589,102.808,-10.1922
92.6038,103.923,-10.1934
92.6252,104.421,-10.195
92.6675,105.416,-10.1976
92.6884,105.913,-10.1987
92.7348,107.031,-10.2008
92.7551,107.527,-10.2017
92.7954,108.519,-10.2031
92.8155,109.014,-10.2037
92.8601,110.129,-10.2047
92.8817,110.625,-10.2071
92.9241,111.617,-10.211
92.945,112.112,-10.2126
92.9915,113.227,-10.2156
93.0118,113.722,-10.2166
93.0522,114.712,-10.218
93.0722,115.207,-10.2183
93.1175,116.321,-10.2186
93.1395,116.82,-10.2202
93.1828,117.817,-10.2226
93.2041,118.315,-10.2235
93.2513,119.434,-10.2247
93.272,119.93,-10.2249
93.3128,120.924,-10.225
93.333,121.42,-10.2248
93.3784,122.537,-10.2245
93.3993,123.036,-10.2258
93.4406,124.033,-10.2279
93.461,124.531,-10.2287
93.5064,125.65,-10.2296
93.5264,126.147,-10.2299
93.5661,127.14,-10.2302
93.5858,127.636,-10.2303
93.6302,128.753,-10.2308
93.6507,129.252,-10.2324
93.6913,130.248,-10.2352
93.7113,130.746,-10.2365
93.756,131.864,-10.239
93.7769,132.363,-10.2414
93.8181,133.36,-10.2456
93.8384,133.858,-10.2474
93.8837,134.978,-10.2508
93.9036,135.475,-10.252
93.943,136.468,-10.2541
93.9625,136.964,-10.255
94.0061,138.079,-10.2569
94.0264,138.577,-10.259
94.0667,139.57,-10.2625
94.0865,140.066,-10.2641
94.1308,141.182,-10.2671
94.1504,141.677,-10.2684
94.1891,142.668,-10.2706
94.2084,143.163,-10.2715
94.2516,144.277,-10.2733
94.2716,144.777,-10.2743
94.3109,145.774,-10.2764
94.3304,146.272,-10.2773
94.3738,147.391,-10.279
94.393,147.888,-10.2797
94.4311,148.88,-10.281
94.45,149.376,-10.2816
94.4928,150.491,-10.2829
94.5132,150.99,-10.284
94.5534,151.987,-10.2859
94.5732,152.484,-10.2867
94.6175,153.602,-10.288
94.637,154.098,-10.2885
94.6752,155.089,-10.2892
94.6936,155.584,-10.2896
94.7316,156.697,-10.291
94.7474,157.195,-10.2923
94.7728,158.186,-10.2956
94.7819,158.679,-10.2977
94.7918,159.786,-10.3041
94.791,160.276,-10.3077
94.7785,161.252,-10.3161
94.7665,161.739,-10.3209
94.7253,162.834,-10.3335
94.7044,163.324,-10.34
94.6474,164.3,-10.3539
94.6109,164.786,-10.3614
