t,north,east,down,vel,roll,pitch,speed,throttle
0.89,4.337,165.888,-14.4721,19.3763,-2.32127,14.4221,19.8686,0.006
0.9,4.36162,166.519,-14.6553,19.3821,-2.29639,14.4231,19.8686,0.006
0.91,4.38625,167.148,-14.8396,19.3871,-2.26576,14.4272,19.8686,0.006
0.92,4.38625,167.148,-14.8396,19.3871,-2.24481,14.4352,19.8686,0.006
0.93,4.41093,167.777,-15.025,19.3904,-2.21632,14.4413,19.8961,0.006
0.94,4.41093,167.777,-15.025,19.3904,-2.19524,14.4442,19.8961,0.006
0.95,4.44184,168.561,-15.258,19.3949,-2.16796,14.4503,19.8961,0.006
0.96,4.46665,169.188,-15.4454,19.3989,-2.14607,14.4589,19.8961,0.006
0.97,4.46665,169.188,-15.4454,19.3989,-2.12442,14.4697,19.8961,0.006
0.98,4.49157,169.814,-15.6336,19.4013,-2.11307,14.4728,19.8961,0.006
0.99,4.49157,169.814,-15.6336,19.4013,-2.08634,14.4738,19.8529,0.006
1,4.51651,170.439,-15.8224,19.4037,-2.06078,14.4809,19.8529,0.006
1.01,4.51651,170.439,-15.8224,19.4037,-2.03264,14.4917,19.8529,0.006
1.02,4.54148,171.064,-16.012,19.4054,-2.00699,14.5038,19.8529,0.006
1.03,4.56647,171.688,-16.2022,19.4068,-1.98109,14.5136,19.8529,0.006
1.04,4.56647,171.688,-16.2022,19.4068,-1.94987,14.5263,19.7747,0.006
1.05,4.59771,172.468,-16.4409,19.4078,-1.9271,14.5398,19.7747,0.006
1.06,4.59771,172.468,-16.4409,19.4078,-1.89966,14.5494,19.7747,0.006
1.07,4.62276,173.091,-16.6325,19.4089,-1.87662,14.5576,19.7747,0.006
1.08,4.64836,173.715,-16.8227,19.411,-1.85335,14.5627,19.7747,0.006
1.09,4.64836,173.715,-16.8227,19.411,-1.82375,14.5669,19.754,0.006
1.1,4.67543,174.343,-17.0082,19.4144,-1.80524,14.5761,19.754,0.006
1.11,4.67543,174.343,-17.0082,19.4144,-1.78618,14.5866,19.754,0.006
1.12,4.70916,175.126,-17.2415,19.4166,-1.76278,14.5923,19.754,0.006
1.13,4.70916,175.126,-17.2415,19.4166,-1.74155,14.5943,19.754,0.006
1.14,4.72933,175.596,-17.3823,19.4176,-1.72061,14.6029,19.8343,0.006
1.15,4.76288,176.378,-17.6179,19.4193,-1.70007,14.6137,19.8343,0.006
1.16,4.76288,176.378,-17.6179,19.4193,-1.68544,14.6146,19.8343,0.006
1.17,4.78964,177.002,-17.8074,19.4208,-1.66078,14.6217,19.8343,0.006
1.18,4.78964,177.002,-17.8074,19.4208,-1.64268,14.6221,19.8343,0.006
1.19,4.81634,177.627,-17.9977,19.421,-1.61949,14.6312,19.8441,0.006
1.2,4.81634,177.627,-17.9977,19.421,-1.58747,14.643,19.8441,0.006
1.21,4.843,178.25,-18.1887,19.4223,-1.57104,14.6479,19.8441,0.006
1.22,4.8696,178.874,-18.3803,19.4228,-1.54655,14.6573,19.8441,0.006
1.23,4.8696,178.874,-18.3803,19.4228,-1.51445,14.6684,19.8441,0.006
1.24,4.89616,179.496,-18.5727,19.4234,-1.49741,14.6781,19.8441,0.006
1.25,4.89616,179.496,-18.5727,19.4234,-1.47678,14.6828,19.8441,0.006
1.26,4.92927,180.274,-18.814,19.4239,-1.45013,14.693,19.8441,0.006
1.27,4.92927,180.274,-18.814,19.4239,-1.44174,14.6953,19.8441,0.006
1.28,4.95573,180.896,-19.0075,19.4248,-1.41905,14.6995,19.8441,0.006
1.29,4.98263,181.52,-19.1998,19.425,-1.39674,14.7086,19.8441,0.006
1.3,4.98263,181.52,-19.1998,19.425,-1.3748,14.7165,19.7722,0.006
1.31,5.01084,182.146,-19.388,19.4276,-1.35147,14.7185,19.7722,0.006
1.32,5.01084,182.146,-19.388,19.4276,-1.33071,14.7309,19.7722,0.006
1.33,5.03889,182.773,-19.5773,19.4286,-1.31708,14.7363,19.7722,0.006
1.34,5.0668,183.398,-19.7675,19.4303,-1.29544,14.7418,19.7722,0.006
1.35,5.0668,183.398,-19.7675,19.4303,-1.28017,14.7489,19.7132,0.006
1.36,5.10155,184.179,-20.0062,19.4322,-1.25701,14.7564,19.7132,0.006
1.37,5.10155,184.179,-20.0062,19.4322,-1.24454,14.7596,19.7132,0.006
1.38,5.12923,184.803,-20.198,19.4139,-1.23588,14.7626,19.7132,0.006
1.39,5.12923,184.803,-20.198,19.4139,-1.23435,14.7533,19.7132,0.006
1.4,5.15645,185.425,-20.3898,19.3099,-1.24277,14.7304,19.8048,0.0011
1.41,5.18293,186.042,-20.5806,19.1937,-1.25903,14.6864,19.8048,0.0011
1.42,5.18293,186.042,-20.5806,19.1937,-1.27146,14.639,19.8048,0.0011
1.43,5.20862,186.656,-20.77,19.0806,-1.29556,14.5612,19.8048,0.0011
1.44,5.20862,186.656,-20.77,19.0806,-1.30612,14.5056,19.8048,0.0011
1.45,5.23359,187.266,-20.9574,18.9751,-1.33883,14.38,19.576,0.0011
1.46,5.23359,187.266,-20.9574,18.9751,-1.36121,14.2519,19.576,0.0011
1.47,5.26389,188.023,-21.188,18.8519,-1.37803,14.139,19.576,0.0011
1.48,5.28747,188.624,-21.3691,18.7619,-1.41317,13.9461,19.576,0.0011
1.49,5.28747,188.624,-21.3691,18.7619,-1.43517,13.7714,19.576,0.0011
1.5,5.31179,189.225,-21.5454,18.6789,-1.46032,13.5833,18.8151,0.001
1.51,5.31179,189.225,-21.5454,18.6789,-1.48662,13.3733,18.8151,0.001
1.52,5.33934,189.827,-21.7144,18.6046,-1.50968,13.1503,18.8151,0.001
1.53,5.36616,190.427,-21.8795,18.5347,-1.53199,12.9603,18.8151,0.001
1.54,5.36616,190.427,-21.8795,18.5347,-1.56305,12.6596,18.8151,0.001
1.55,5.39233,191.023,-22.0404,18.4699,-1.56764,12.6071,18.8151,0.001
1.56,5.39233,191.023,-22.0404,18.4699,-1.58216,12.3468,18.8151,0.001
1.57,5.4242,191.765,-22.2352,18.3963,-1.60218,12.0234,18.8151,0.001
1.58,5.4242,191.765,-22.2352,18.3963,-1.61155,11.7965,18.8151,0.001
1.59,5.44912,192.356,-22.3857,18.34,-1.62097,11.5039,18.8151,0.001
1.6,5.47352,192.944,-22.531,18.2868,-1.63139,11.2014,18.8151,0.001
1.61,5.47352,192.944,-22.531,18.2868,-1.64131,10.8943,18.5661,0.0009
1.62,5.49742,193.531,-22.671,18.2374,-1.64919,10.5791,18.5661,0.0009
1.63,5.49742,193.531,-22.671,18.2374,-1.65376,10.2579,18.5661,0.0009
1.64,5.52088,194.115,-22.8056,18.19,-1.65881,9.9262,18.5661,0.0009
1.65,5.5439,194.698,-22.9346,18.1458,-1.66371,9.5928,18.5661,0.0009
1.66,5.5439,194.698,-22.9346,18.1458,-1.66963,9.25763,18.2224,0.0009
1.67,5.57218,195.423,-23.0878,18.0943,-1.67773,8.91154,18.2224,0.0009
1.68,5.57218,195.423,-23.0878,18.0943,-1.6849,8.56062,18.2224,0.0009
1.69,5.59442,196.002,-23.2035,18.0546,-1.68744,8.21455,18.2224,0.0009
1.7,5.59442,196.002,-23.2035,18.0546,-1.6945,7.88161,18.2224,0.0009
1.71,5.61863,196.579,-23.3126,18.0115,-1.70914,7.5706,17.8494,0.0009
1.72,5.61863,196.579,-23.3126,18.0115,-1.72454,7.33191,17.8494,0.0009
1.73,5.64917,197.154,-23.414,17.9648,-1.74053,7.04928,17.8494,0.0009
1.74,5.67896,197.727,-23.5105,17.9159,-1.75114,6.78152,17.8494,0.0009
1.75,5.67896,197.727,-23.5105,17.9159,-1.76503,6.52931,17.8494,0.0009
1.76,5.70803,198.299,-23.6027,17.8644,-1.77836,6.28946,17.4082,0.0009
1.77,5.70803,198.299,-23.6027,17.8644,-1.78665,6.10986,17.4082,0.0009
1.78,5.74344,199.01,-23.7121,17.7967,-1.7906,5.85246,17.4082,0.0009
1.79,5.77104,199.577,-23.7954,17.7409,-1.78764,5.69048,17.4082,0.0009
1.8,5.77104,199.577,-23.7954,17.7409,-1.787,5.45581,17.4082,0.0009
1.81,5.79801,200.143,-23.8753,17.6831,-1.7856,5.27316,17.4082,0.0009
1.82,5.79801,200.143,-23.8753,17.6831,-1.78286,5.1338,17.4082,0.0009
1.83,5.82441,200.706,-23.952,17.6237,-1.77932,4.97331,17.4082,0.0009
