u0_opt,u1_opt,u2_opt
3.16108e-06,0.0622578,2.44346
3.37094e-06,0.0657485,2.25037
3.61077e-06,0.0692391,2.08797
3.88736e-06,0.0727298,1.95154
4.20971e-06,0.0762205,1.83846
4.58992e-06,0.0797112,1.74618
5.04475e-06,0.0832018,1.67192
5.5981e-06,0.0866925,1.61284
6.28523e-06,0.0901832,1.56626
7.16051e-06,0.0936738,1.52979
8.31225e-06,0.0971645,1.50141
9.89426e-06,0.100655,1.4795
1.22005e-05,0.104146,1.46273
1.58734e-05,0.107637,1.45009
2.26496e-05,0.111127,1.44081
3.96394e-05,0.114618,1.43432
0.377664,0.114635,1.4302
0.5,0.114643,1.4282
6.35818e-08,0.170879,0.349066
7.01534e-08,0.167388,0.349066
7.68564e-08,0.163897,0.349066
8.44263e-08,0.160407,0.349066
9.35952e-08,0.156916,0.349066
1.05262e-07,0.153425,0.349066
1.20802e-07,0.149935,0.349066
1.42678e-07,0.146444,0.349066
1.76039e-07,0.142953,0.349066
2.34247e-07,0.139463,0.349066
3.69843e-07,0.135972,0.349066
0.408503,0.132481,0.349066
1,0.128991,0.349066
1,0.1255,0.349066
1,0.122009,0.349066
1,0.118519,0.362643
1,0.115028,0.39637
1,0.111537,0.443926
0.802042,0.108047,0.50048
3.48957e-07,0.104556,0.561276
2.27354e-07,0.101065,0.627237
0.0321194,0.0975746,0.708481
0.0959793,0.094084,0.804743
0.125602,0.0905933,0.918199
0.144176,0.0871026,1.04945
0.156548,0.083612,1.19794
0.165006,0.0801213,1.36179
0.170882,0.0766306,1.53777
0.175016,0.07314,1.72152
0.177963,0.0696493,1.90813
0.180093,0.0661586,2.09287
2.98035e-06,0.062668,2.27201
3.16858e-06,0.0591773,2.44346
3.379e-06,0.062668,2.25037
3.61942e-06,0.0661586,2.08797
3.89665e-06,0.0696493,1.95154
4.21971e-06,0.07314,1.83846
4.60072e-06,0.0766306,1.74618
5.05649e-06,0.0801213,1.67192
5.61094e-06,0.083612,1.61284
6.29942e-06,0.0871026,1.56626
7.17637e-06,0.0905933,1.52979
8.33027e-06,0.094084,1.50141
9.91519e-06,0.0975746,1.4795
1.22256e-05,0.101065,1.46273
1.5905e-05,0.104556,1.45009
2.26931e-05,0.108047,1.44081
3.97123e-05,0.111537,1.43432
0.377626,0.111554,1.4302
0.5,0.111563,1.4282
6.45969e-08,0.168882,0.349066
7.13602e-08,0.165392,0.349066
7.82147e-08,0.161901,0.349066
8.59586e-08,0.15841,0.349066
9.53595e-08,0.15492,0.349066
1.0735e-07,0.151429,0.349066
1.23358e-07,0.147938,0.349066
1.45952e-07,0.144448,0.349066
1.80521e-07,0.140957,0.349066
2.41115e-07,0.137466,0.349066
3.83228e-07,0.133976,0.349066
0.665184,0.130485,0.349066
1,0.126994,0.349066
1,0.123504,0.349066
1,0.120013,0.349066
1,0.116522,0.373939
1,0.113032,0.417741
1,0.109541,0.475134
0.857697,0.10605,0.541605
3.67797e-07,0.10256,0.612271
2.40258e-07,0.0990691,0.686676
2.32449e-07,0.0955784,0.778194
0.0911593,0.0920878,0.886329
0.122732,0.0885971,1.01257
0.142323,0.0851064,1.15697
0.155333,0.0816158,1.31833
0.164216,0.0781251,1.49406
0.170382,0.0746344,1.68033
0.174717,0.0711437,1.87255
0.177803,0.0676531,2.06609
2.80433e-06,0.0641624,2.25713
2.97154e-06,0.0606717,2.44346
3.15696e-06,0.0641624,2.25036
3.36715e-06,0.0676531,2.08794
3.60735e-06,0.0711437,1.95148
3.88438e-06,0.0746344,1.83836
4.20721e-06,0.0781251,1.74601
4.58795e-06,0.0816158,1.67167
5.04338e-06,0.0851064,1.61249
5.5974e-06,0.0885971,1.56576
6.28533e-06,0.0920878,1.52912
7.16156e-06,0.0955784,1.50052
8.31452e-06,0.0990691,1.47833
9.89815e-06,0.10256,1.4612
1.22067e-05,0.10605,1.44812
1.58833e-05,0.109541,1.43826
2.26664e-05,0.113032,1.43102
3.96739e-05,0.116522,1.42595
0.382761,0.116539,1.42274
0.5,0.116548,1.42118
7.06236e-08,0.165958,0.349066
7.83696e-08,0.162467,0.349066
8.63419e-08,0.158976,0.349066
9.55548e-08,0.155486,0.349066
1.07042e-07,0.151995,0.349066
1.22189e-07,0.148504,0.349066
1.43368e-07,0.145014,0.349066
1.7546e-07,0.141523,0.349066
2.31069e-07,0.138032,0.349066
3.59695e-07,0.134542,0.349066
0.378364,0.131051,0.349066
1,0.12756,0.349066
1,0.12407,0.349066
1,0.120579,0.349066
1,0.117088,0.351125
1,0.113598,0.37868
1,0.110107,0.423822
1,0.106616,0.481312
0.634896,0.103126,0.546513
3.41251e-07,0.0996351,0.614346
2.27452e-07,0.0961444,0.691304
0.0584649,0.0926537,0.784777
0.105513,0.0891631,0.895306
0.131368,0.0856724,1.02396
0.148014,0.0821817,1.17056
0.159225,0.0786911,1.33359
0.16694,0.0752004,1.51015
0.172325,0.0717097,1.69613
0.176131,0.0682191,1.88671
0.178855,0.0647284,2.07711
2.83753e-06,0.0612377,2.26344
3.00684e-06,0.057747,2.44346
3.19451e-06,0.0612377,2.25036
3.40721e-06,0.0647284,2.08794
3.65025e-06,0.0682191,1.95148
3.93052e-06,0.0717097,1.83836
4.2571e-06,0.0752004,1.74601
4.64224e-06,0.0786911,1.67167
5.1029e-06,0.0821817,1.61249
5.66327e-06,0.0856724,1.56576
6.35905e-06,0.0891631,1.52912
7.24525e-06,0.0926537,1.50052
8.41129e-06,0.0961444,1.47833
1.00129e-05,0.0996351,1.4612
1.23475e-05,0.103126,1.44812
1.60655e-05,0.106616,1.43826
2.29249e-05,0.110107,1.43102
4.01233e-05,0.113598,1.42595
0.382724,0.113615,1.42274
0.5,0.113624,1.42118
7.43368e-08,0.164211,0.349066
8.27571e-08,0.16072,0.349066
9.14612e-08,0.15723,0.349066
1.01638e-07,0.153739,0.349066
1.14519e-07,0.150248,0.349066
1.31826e-07,0.146758,0.349066
1.56649e-07,0.143267,0.349066
1.95695e-07,0.139776,0.349066
2.67444e-07,0.136286,0.349066
4.50622e-07,0.132795,0.349066
0.942366,0.129304,0.349066
1,0.125814,0.349066
1,0.122323,0.349066
1,0.118832,0.349066
1,0.115342,0.354698
1,0.111851,0.384047
1,0.10836,0.429604
1,0.10487,0.486158
0.239506,0.101379,0.548937
3.28019e-07,0.0978883,0.612702
2.20442e-07,0.0943976,0.691513
0.0854905,0.0909069,0.786054
0.11944,0.0874163,0.897973
0.140198,0.0839256,1.02809
0.153923,0.0804349,1.17607
0.163277,0.0769442,1.34024
0.169762,0.0734536,1.51751
0.174315,0.0699629,1.70362
0.177552,0.0664722,1.8936
0.179885,0.0629816,2.08259
2.83714e-06,0.0594909,2.26663
3.00651e-06,0.0560002,2.44346
3.1942e-06,0.0594909,2.25036
3.40688e-06,0.0629816,2.08794
3.64989e-06,0.0664722,1.95148
3.9301e-06,0.0699629,1.83836
4.2566e-06,0.0734536,1.74601
4.64163e-06,0.0769442,1.67167
5.10214e-06,0.0804349,1.61249
5.66232e-06,0.0839256,1.56576
6.35784e-06,0.0874163,1.52912
7.2437e-06,0.0909069,1.50052
8.40927e-06,0.0943976,1.47833
1.00102e-05,0.0978883,1.4612
1.23438e-05,0.101379,1.44812
1.60601e-05,0.10487,1.43826
2.29162e-05,0.10836,1.43102
4.01063e-05,0.111851,1.42595
0.382738,0.111868,1.42274
0.5,0.111877,1.42118
1.65904e-07,0.160578,0.349066
1.84878e-07,0.157087,0.349066
2.04791e-07,0.153596,0.349066
2.2858e-07,0.150106,0.349066
2.59452e-07,0.146615,0.349066
3.02311e-07,0.143124,0.349066
3.66938e-07,0.139634,0.349066
4.7835e-07,0.136143,0.349066
7.34562e-07,0.132652,0.349066
0.632705,0.129162,0.349066
1,0.125671,0.349066
1,0.12218,0.349066
1,0.11869,0.349066
1,0.115199,0.349066
1,0.111708,0.357906
1,0.108218,0.389752
1,0.104727,0.437289
0.944794,0.101236,0.495257
6.85483e-07,0.0977456,0.558698
4.52809e-07,0.0942549,0.624046
0.0230752,0.0907643,0.705624
0.0931833,0.0872736,0.802922
0.123851,0.0837829,0.91769
0.143086,0.0802923,1.05044
0.155923,0.0768016,1.20052
0.164716,0.0733109,1.36588
0.170833,0.0698203,1.54308
0.175141,0.0663296,1.72755
