z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10.25,33,3.32802e-06,0.0783062,2.25037,0.633943,1.90731,6.06885,-0.0144676,6.06822,-0.0877984,0.407668,1.57746,0.0927738
1.3,10.25,34,3.56488e-06,0.0817969,2.08797,0.755307,1.90555,6.10925,-0.0159323,6.10847,-0.0973301,0.586607,1.54287,0.0977292
1.3,10.25,35,3.83823e-06,0.0852876,1.95154,0.877477,1.90361,6.15364,-0.0155168,6.1529,-0.0954809,0.761007,1.52094,0.100804
1.3,10.25,36,4.15695e-06,0.0887782,1.83846,1.00053,1.9017,6.20095,-0.0137317,6.20037,-0.0851468,0.929361,1.50808,0.10251
1.3,10.25,37,4.53302e-06,0.0922689,1.74618,1.12454,1.89999,6.25032,-0.0109554,6.24994,-0.0684734,1.09133,1.50137,0.103224
1.3,10.25,38,4.98303e-06,0.0957596,1.67192,1.24954,1.89862,6.30108,-0.007468,6.3009,-0.047056,1.2474,1.49863,0.103228
1.3,10.25,39,5.53065e-06,0.0992502,1.61284,1.37556,1.89768,6.35273,-0.0034762,6.3527,-0.0220833,1.39843,1.49834,0.102726
1.3,10.25,40,6.21083e-06,0.102741,1.56626,1.50261,1.89724,6.40491,0.000867872,6.40491,0.00555864,1.54544,1.49954,0.101873
1.3,10.25,41,7.07741e-06,0.106232,1.52979,1.63071,1.89735,6.45735,0.00545282,6.45725,0.0352106,1.68939,1.50168,0.100779
1.3,10.25,42,8.21793e-06,0.109722,1.50141,1.75986,1.89806,6.50983,0.0101975,6.50949,0.0663827,1.83112,1.50445,0.0995248
1.3,10.25,43,9.78482e-06,0.113213,1.4795,1.89005,1.89938,6.56223,0.0150431,6.56149,0.0987123,1.97128,1.50772,0.0981699
1.3,10.25,44,1.20694e-05,0.116704,1.46273,2.02128,1.90136,6.61445,0.0199473,6.61314,0.131932,2.11043,1.51142,0.0967562
1.3,10.25,45,1.57084e-05,0.120194,1.45009,2.15354,1.904,6.66643,0.0248803,6.66436,0.165845,2.24897,1.51555,0.095314
1.3,10.25,46,2.24232e-05,0.123685,1.44081,2.28683,1.90731,6.71811,0.0298207,6.71513,0.200309,2.38721,1.52011,0.0938642
1.3,10.25,47,3.92612e-05,0.127176,1.43432,2.42113,1.91132,6.76949,0.034754,6.7654,0.235219,2.52537,1.52514,0.0924216
1.3,10.25,48,0.378039,0.127191,1.4302,2.55644,1.91602,6.82055,0.0396701,6.81518,0.270501,2.66228,1.53028,0.0875209
1.3,10.25,49,0.5,0.127199,1.4282,2.69274,1.92143,6.725,0.047116,6.71754,0.316738,2.79935,1.5359,0.0800828
