u0_opt,u1_opt,u2_opt,x,z,vel
1.3345e-05,0.110702,0.349066,-1.52403,10.1777,9.73961
1.3761e-05,0.10983,0.349066,-1.42744,10.1902,9.75121
1.41755e-05,0.108957,0.349066,-1.33073,10.2027,9.76282
1.45866e-05,0.108084,0.349066,-1.23389,10.2151,9.77442
1.49932e-05,0.107212,0.349066,-1.13693,10.2274,9.78602
1.53947e-05,0.106339,0.349066,-1.03984,10.2397,9.79762
1.57913e-05,0.105466,0.366602,-0.942629,10.2519,9.80921
1.61841e-05,0.104594,0.407377,-0.845293,10.2641,9.82081
1.65754e-05,0.103721,0.45746,-0.747832,10.2762,9.8324
1.69685e-05,0.102848,0.520028,-0.650247,10.2882,9.844
1.7368e-05,0.101976,0.59961,-0.552538,10.3002,9.85559
1.77798e-05,0.101103,0.702582,-0.454705,10.3121,9.86718
1.82107e-05,0.10023,0.837436,-0.356747,10.3239,9.87878
1.8668e-05,0.0993575,1.01366,-0.258665,10.3357,9.89037
1.91588e-05,0.0984848,1.23662,-0.160459,10.3474,9.90196
1.969e-05,0.0976122,1.49709,-0.0621292,10.3591,9.91356
2.02684e-05,0.0967395,1.76521,0.036325,10.3707,9.92515
2.09039e-05,0.0958668,2.00594,0.134903,10.3822,9.93674
2.16109e-05,0.0949942,2.20129,0.233605,10.3937,9.94834
2.23582e-05,0.0941215,2.44346,0.332432,10.4051,9.95993
2.3149e-05,0.0932488,2.44346,0.431382,10.4165,9.97153
2.39871e-05,0.0923761,2.44346,0.530456,10.4278,9.98312
2.48763e-05,0.0915035,2.44346,0.629654,10.439,9.99472
2.58212e-05,0.0906308,2.44346,0.728976,10.4502,10.0063
2.68267e-05,0.0897581,2.44346,0.828421,10.4613,10.0179
2.78984e-05,0.0888854,2.44346,0.927991,10.4723,10.0295
2.90426e-05,0.0880128,2.44346,1.02768,10.4833,10.0411
3.02662e-05,0.0871401,2.44346,1.1275,10.4942,10.0527
3.15772e-05,0.0862674,2.44346,1.22744,10.505,10.0643
3.29845e-05,0.0853947,2.44346,1.32751,10.5158,10.0759
3.44982e-05,0.0845221,2.44346,1.42769,10.5265,10.0875
3.613e-05,0.0836494,2.44346,1.52801,10.5372,10.0991
3.7893e-05,0.0827767,2.44346,1.62844,10.5477,10.1107
3.98025e-05,0.081904,2.44346,1.729,10.5583,10.1223
4.18759e-05,0.0810314,2.44346,1.82968,10.5687,10.1339
4.41337e-05,0.0801587,2.44346,1.93049,10.5791,10.1455
4.65994e-05,0.079286,2.44346,2.03142,10.5894,10.1571
4.93008e-05,0.0784133,2.44346,2.13247,10.5997,10.1687
5.22705e-05,0.0775407,2.44346,2.23365,10.6098,10.1804
5.55472e-05,0.076668,2.44346,2.33495,10.6199,10.192
5.91772e-05,0.0757953,2.44346,2.43637,10.63,10.2036
6.32159e-05,0.0749226,2.44346,2.53792,10.64,10.2152
6.77305e-05,0.07405,2.44346,2.63959,10.6499,10.2268
7.28035e-05,0.0731773,2.44346,2.74138,10.6597,10.2384
7.85363e-05,0.0723046,2.44346,2.8433,10.6695,10.25
8.50556e-05,0.0714319,2.44346,2.94534,10.6792,10.2616
9.25217e-05,0.0705593,2.44346,3.0475,10.6889,10.2733
0.00010114,0.0696866,2.44346,3.14978,10.6984,10.2849
0.000111176,0.0688139,2.44346,3.25219,10.7079,10.2965
0.000122983,0.0679413,2.44346,3.35472,10.7174,10.3081
0.000137038,0.0670686,2.44346,3.45738,10.7267,10.3197
0.000154001,0.0661959,2.44346,3.56016,10.736,10.3314
0.000174808,0.0653232,2.44346,3.66306,10.7452,10.343
0.000200842,0.0644506,2.44346,3.76608,10.7544,10.3546
0.000234222,0.0635779,2.44346,3.86923,10.7635,10.3663
0.000278385,0.0627052,2.44346,3.9725,10.7725,10.3779
0.000339284,0.0618326,2.44346,4.07589,10.7814,10.3895
0.000428258,0.0609599,2.44346,4.17941,10.7903,10.4011
0.000569995,0.0600873,2.44346,4.28305,10.7991,10.4128
0.000831017,0.0592147,2.44346,4.38681,10.8078,10.4244
0.00148277,0.0583423,2.44346,4.49069,10.8165,10.4361
0.248058,0.0583511,2.44346,4.5947,10.8251,10.4477
0.25,0.058356,2.44346,4.69883,10.8336,10.4351
5.39932e-06,0.137253,0.592556,-5,9.75,9.25
5.43548e-06,0.136381,0.349066,-4.9075,9.75,9.30769
5.48296e-06,0.136974,0.349066,-4.81447,9.75295,9.36279
5.54023e-06,0.136101,0.349066,-4.72099,9.75823,9.41388
5.60673e-06,0.135228,0.349066,-4.62713,9.7654,9.45961
5.68223e-06,0.134356,0.349066,-4.53293,9.77406,9.50002
5.76667e-06,0.133483,0.349066,-4.43844,9.78389,9.53551
5.86012e-06,0.13261,0.349066,-4.34369,9.79465,9.56669
5.96271e-06,0.131738,0.349066,-4.24871,9.80612,9.59417
6.07466e-06,0.130865,0.349066,-4.15353,9.81815,9.61856
6.19623e-06,0.129992,0.349066,-4.05815,9.83062,9.64039
6.32775e-06,0.12912,0.349066,-3.9626,9.84341,9.66014
6.46956e-06,0.128247,0.349066,-3.86689,9.85645,9.6782
6.62205e-06,0.127374,0.349066,-3.77101,9.86967,9.69491
6.78565e-06,0.126502,0.349066,-3.67499,9.88302,9.71054
6.96081e-06,0.125629,0.349066,-3.57882,9.89647,9.7253
7.148e-06,0.124756,0.349066,-3.48251,9.90998,9.73938
7.34773e-06,0.123884,0.349066,-3.38606,9.92352,9.75291
7.5605e-06,0.123011,0.349066,-3.28948,9.93708,9.76602
7.78683e-06,0.122138,0.349066,-3.19276,9.95063,9.77878
8.02722e-06,0.121266,0.349066,-3.09592,9.96418,9.79128
8.28216e-06,0.120393,0.349066,-2.99894,9.9777,9.80357
8.55211e-06,0.11952,0.349066,-2.90184,9.99119,9.81569
8.83743e-06,0.118648,0.349066,-2.80461,10.0046,9.82769
9.13846e-06,0.117775,0.349066,-2.70725,10.0181,9.83958
9.45538e-06,0.116902,0.349066,-2.60977,10.0314,9.85139
9.78825e-06,0.11603,0.349066,-2.51216,10.0447,9.86314
1.01369e-05,0.115157,0.349066,-2.41442,10.058,9.87484
1.05011e-05,0.114284,0.349066,-2.31656,10.0712,9.8865
1.08802e-05,0.113412,0.349066,-2.21858,10.0844,9.89813
1.12733e-05,0.112539,0.349066,-2.12047,10.0975,9.90974
1.16792e-05,0.111666,0.349066,-2.02223,10.1105,9.92133
1.20964e-05,0.110794,0.349066,-1.92387,10.1235,9.93291
1.25231e-05,0.109921,0.349066,-1.82539,10.1364,9.94447
1.29572e-05,0.109048,0.349066,-1.72678,10.1493,9.95603
1.33962e-05,0.108176,0.349066,-1.62805,10.1621,9.96758
1.38377e-05,0.107303,0.349066,-1.52919,10.1749,9.97912
1.42791e-05,0.10643,0.349066,-1.43021,10.1876,9.99066
1.47182e-05,0.105558,0.349066,-1.3311,10.2002,10.0022
1.51529e-05,0.104685,0.349066,-1.23187,10.2128,10.0137
1.55817e-05,0.103812,0.349066,-1.13252,10.2253,10.0253
1.60039e-05,0.102939,0.349066,-1.03304,10.2377,10.0368
1.64199e-05,0.102067,0.363827,-0.93344,10.2501,10.0483
1.68309e-05,0.101194,0.406104,-0.833714,10.2624,10.0599
1.72395e-05,0.100321,0.458427,-0.733864,10.2746,10.0714
1.76497e-05,0.0994488,0.524375,-0.633891,10.2868,10.0829
1.80668e-05,0.0985761,0.609112,-0.533793,10.299,10.0945
1.84976e-05,0.0977034,0.719974,-0.433572,10.311,10.106
1.89496e-05,0.0968308,0.866673,-0.333227,10.323,10.1175
1.9431e-05,0.0959581,1.05946,-0.232758,10.335,10.1291
1.99493e-05,0.0950854,1.30179,-0.132165,10.3468,10.1406
2.05115e-05,0.0942127,1.57754,-0.0314484,10.3586,10.1521
2.11256e-05,0.0933401,1.84935,0.0693917,10.3704,10.1637
2.18035e-05,0.0924674,2.08271,0.170356,10.382,10.1752
2.25633e-05,0.0915947,2.26607,0.271443,10.3936,10.1867
2.33678e-05,0.090722,2.44346,0.372654,10.4052,10.1983
2.42206e-05,0.0898494,2.44346,0.473989,10.4167,10.2098
2.51259e-05,0.0889767,2.44346,0.575447,10.4281,10.2213
2.60882e-05,0.088104,2.44346,0.677028,10.4394,10.2329
2.71128e-05,0.0872313,2.44346,0.778734,10.4507,10.2444
2.82053e-05,0.0863587,2.44346,0.880562,10.4619,10.2559
2.93723e-05,0.085486,2.44346,0.982514,10.4731,10.2675
3.06209e-05,0.0846133,2.44346,1.08459,10.4841,10.279
3.19594e-05,0.0837406,2.44346,1.18679,10.4952,10.2906
3.33969e-05,0.082868,2.44346,1.28911,10.5061,10.3021
3.4944e-05,0.0819953,2.44346,1.39156,10.517,10.3137
3.66127e-05,0.0811226,2.44346,1.49412,10.5278,10.3252
3.84166e-05,0.0802499,2.44346,1.59682,10.5385,10.3368
4.03715e-05,0.0793773,2.44346,1.69963,10.5492,10.3483
4.24955e-05,0.0785046,2.44346,1.80257,10.5598,10.3599
4.48097e-05,0.0776319,2.44346,1.90563,10.5703,10.3714
4.73386e-05,0.0767592,2.44346,2.00882,10.5808,10.383
5.01107e-05,0.0758866,2.44346,2.11212,10.5912,10.3945
5.31599e-05,0.0750139,2.44346,2.21555,10.6015,10.4061
5.65262e-05,0.0741412,2.44346,2.31911,10.6118,10.4176
6.02571e-05,0.0732685,2.44346,2.42279,10.622,10.4292
6.44098e-05,0.0723959,2.44346,2.52659,10.6321,10.4407
6.90534e-05,0.0715232,2.44346,2.63051,10.6421,10.4523
7.42721e-05,0.0706505,2.44346,2.73455,10.6521,10.4639
8.01695e-05,0.0697779,2.44346,2.83872,10.662,10.4754
