u0_opt,u1_opt,u2_opt,x,z,vel
0.000134228,-0.0113688,2.44346,2.67545,10.4054,11.458
0.000221714,-0.0183501,2.44346,2.90457,10.4013,11.486
0.5,-0.0253314,2.44346,3.13422,10.3956,11.5145
0.5,-0.0323127,2.44346,3.36439,10.3882,11.3559
0.5,-0.0392941,2.44346,3.59133,10.3792,11.1951
0.5,-0.0462754,2.44346,3.81498,10.3686,11.0324
0.5,-0.0532567,2.44346,4.03529,10.3563,10.8676
0.5,-0.060238,2.44346,4.25219,10.3423,10.7008
0.5,-0.0672194,2.44346,4.46564,10.3268,10.532
0.5,-0.0742007,2.44346,4.67559,10.3098,10.3612
0.5,-0.081182,2.44346,4.88199,10.2912,10.1884
0.5,-0.0881632,2.44346,5.08477,10.2713,10.0138
0.499999,-0.0951443,2.44346,5.2839,10.2499,9.83734
0.246215,-0.0952324,2.44346,5.47932,10.2271,9.65907
0.25,-0.0953111,2.44346,5.67099,10.2029,9.63636
6.90893e-06,0.181527,0.592556,-5,9.75,10.25
6.51669e-06,0.174545,0.349066,-4.795,9.75,10.6386
6.79126e-06,0.181527,0.349066,-4.58275,9.76484,10.8195
7.11465e-06,0.188508,0.349066,-4.3676,9.78799,10.9381
7.51915e-06,0.195489,0.349066,-4.15071,9.81658,11.0262
7.95729e-06,0.188508,0.349066,-3.93258,9.84897,11.0991
8.44367e-06,0.181527,0.349066,-3.71342,9.88423,11.1394
8.99662e-06,0.174545,0.349066,-3.49357,9.92029,11.1652
9.62996e-06,0.167564,0.349066,-3.27314,9.95604,11.1845
1.0355e-05,0.160583,0.349066,-3.05219,9.99089,11.2011
1.11812e-05,0.153602,0.349066,-2.83071,10.0246,11.2166
1.2115e-05,0.14662,0.349066,-2.60872,10.0569,11.232
1.31583e-05,0.139639,0.349066,-2.38622,10.0878,11.2475
1.43053e-05,0.132658,0.349066,-2.1632,10.1173,11.2634
1.55396e-05,0.125676,0.349066,-1.93968,10.1452,11.2799
1.68327e-05,0.118695,0.349066,-1.71564,10.1717,11.2968
1.8146e-05,0.111714,0.349066,-1.49109,10.1967,11.3143
1.94397e-05,0.104732,0.349066,-1.26603,10.2202,11.3324
2.06878e-05,0.0977509,0.349066,-1.04045,10.2422,11.351
2.18962e-05,0.0907696,0.402708,-0.814349,10.2626,11.3702
2.31178e-05,0.0837882,0.530492,-0.587733,10.2815,11.39
2.44358e-05,0.0768069,0.923382,-0.360597,10.2989,11.4104
2.59616e-05,0.0698256,1.35971,-0.132941,10.3148,11.4314
2.78671e-05,0.0628443,1.79605,0.0952372,10.3291,11.453
3.04725e-05,0.0558629,2.23238,0.32394,10.3419,11.4751
3.35474e-05,0.0488816,2.44346,0.553167,10.3531,11.4979
3.72326e-05,0.0419003,2.44346,0.782922,10.3628,11.5213
4.17344e-05,0.034919,2.44346,1.01321,10.3709,11.5453
4.73705e-05,0.0279376,2.44346,1.24402,10.3775,11.57
5.46633e-05,0.0209563,2.44346,1.47536,10.3825,11.5952
6.45516e-05,0.013975,2.44346,1.70724,10.3859,11.6211
7.89606e-05,0.00699366,2.44346,1.93966,10.3877,11.6477
0.000102779,1.23311e-05,2.44346,2.17261,10.388,11.6748
0.000155034,-0.00696899,2.44346,2.40611,10.3866,11.7027
0.239886,-0.0139503,2.44346,2.64014,10.3837,11.7312
0.5,-0.0209316,2.44346,2.87472,10.3791,11.7177
0.5,-0.027913,2.44346,3.10899,10.3729,11.5622
0.5,-0.0348943,2.44346,3.3401,10.365,11.4046
0.5,-0.0418756,2.44346,3.56799,10.3554,11.245
0.5,-0.0488569,2.44346,3.79261,10.3441,11.0834
0.5,-0.0558383,2.44346,4.0139,10.3312,10.9198
0.5,-0.0628196,2.44346,4.23181,10.3167,10.7541
0.5,-0.0698009,2.44346,4.44629,10.3006,10.5865
0.5,-0.0767822,2.44346,4.65728,10.2829,10.4169
0.5,-0.0837635,2.44346,4.86474,10.2638,10.2454
0.5,-0.0907448,2.44346,5.06861,10.2432,10.072
0.5,-0.0977261,2.44346,5.26885,10.2212,9.89673
0.5,-0.104707,2.44346,5.4654,10.1978,9.71969
0.245722,-0.104811,2.44346,5.65821,10.1731,9.54093
0.25,-0.104899,2.44346,5.84725,10.1471,9.51832
7.14974e-06,0.186004,0.592556,-5,9.75,10.5
6.72792e-06,0.179022,0.349066,-4.79,9.75,10.9286
7.03773e-06,0.186004,0.349066,-4.57203,9.76623,11.1229
7.40749e-06,0.192985,0.349066,-4.35101,9.79143,11.2468
7.82927e-06,0.19203,0.349066,-4.12821,9.82239,11.3371
8.29004e-06,0.185049,0.349066,-3.90417,9.8573,11.3954
8.81018e-06,0.178067,0.349066,-3.67927,9.89421,11.4289
9.40735e-06,0.171086,0.349066,-3.45374,9.93139,11.4518
1.00954e-05,0.164105,0.349066,-3.22764,9.96793,11.4701
1.08862e-05,0.157123,0.349066,-3.00099,10.0034,11.4866
1.17898e-05,0.150142,0.349066,-2.77381,10.0375,11.5026
1.2813e-05,0.143161,0.349066,-2.5461,10.0703,11.5186
1.39571e-05,0.136179,0.349066,-2.31786,10.1015,11.535
1.52141e-05,0.129198,0.349066,-2.08908,10.1313,11.5518
1.65644e-05,0.122217,0.349066,-1.85978,10.1595,11.5692
1.79751e-05,0.115235,0.349066,-1.62993,10.1861,11.5872
1.94053e-05,0.108254,0.349066,-1.39956,10.2113,11.6057
2.08183e-05,0.101273,0.349066,-1.16865,10.2349,11.6248
