i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa,aoa_true
69,0.5,0.158655,0.627039,2.95464,2.2977,10,-0.0423494,9.99103,-0.423368,3.31156,2.11713,0.201005,0.201005
70,0.5,0.160338,0.617174,3.15446,2.28924,10,-0.0423572,9.99103,-0.423446,3.51344,2.11279,0.202695,0.202695
71,0.5,0.162118,0.607362,3.35428,2.28077,10,-0.0423661,9.99103,-0.423534,3.71528,2.1085,0.204484,0.204484
72,0.5,0.164005,0.597606,3.5541,2.2723,10,-0.0423762,9.99102,-0.423635,3.91708,2.10424,0.206381,0.206381
73,0.5,0.166004,0.587911,3.75392,2.26382,10,-0.0423877,9.99102,-0.42375,4.11884,2.10002,0.208392,0.208392
74,0.5,0.168126,0.57828,3.95374,2.25535,10,-0.0424009,9.99101,-0.423882,4.32056,2.09585,0.210527,0.210527
75,0.5,0.170378,0.568716,4.15356,2.24687,10,-0.0424162,9.99101,-0.424035,4.52224,2.09172,0.212794,0.212794
76,0.5,0.17277,0.559226,4.35338,2.23839,10,-0.0424339,9.991,-0.424212,4.72388,2.08763,0.215203,0.215203
77,0.5,0.175311,0.549812,4.5532,2.22991,10,-0.0424547,9.99099,-0.42442,4.92547,2.08358,0.217766,0.217766
78,0.5,0.178013,0.540478,4.75302,2.22142,10,-0.0424792,9.99098,-0.424664,5.12703,2.07959,0.220492,0.220492
79,0.5,0.180885,0.531231,4.95284,2.21292,10,-0.0425082,9.99097,-0.424954,5.32854,2.07564,0.223393,0.223393
80,0.5,0.183938,0.522072,5.15266,2.20443,10,-0.042543,9.99095,-0.425301,5.53001,2.07173,0.226481,0.226481
81,0.5,0.187182,0.513008,5.35248,2.19592,10,-0.0425849,9.99093,-0.425721,5.73143,2.06788,0.229767,0.229767
82,0.5,0.190629,0.50404,5.55229,2.18741,10,-0.0426362,9.99091,-0.426233,5.93281,2.06408,0.233265,0.233265
