z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10.5,38,1.34974e-05,0.198891,1.39863,4.95197,1.99125,9.47806,0.153585,9.3665,1.44997,5.09701,1.61847,0.0453063
1.3,10.5,39,1.50931e-05,0.202382,1.39811,5.1393,2.02025,9.52014,0.157518,9.40227,1.4934,5.28584,1.64806,0.0448642
1.3,10.5,40,1.70727e-05,0.205873,1.39771,5.32735,2.05012,9.56236,0.161446,9.43801,1.53711,5.47533,1.6785,0.0444263
1.3,10.5,41,1.95914e-05,0.209363,1.3974,5.51611,2.08086,9.60475,0.165371,9.47372,1.58112,5.6655,1.70981,0.0439924
1.3,10.5,42,2.29006e-05,0.212854,1.39716,5.70558,2.11248,9.6473,0.169291,9.50939,1.62541,5.85636,1.74199,0.0435626
1.3,10.5,43,2.74376e-05,0.216345,1.39697,5.89577,2.14499,9.69002,0.173208,9.54503,1.67001,6.04791,1.77505,0.0431366
1.3,10.5,44,3.4037e-05,0.219835,1.39683,6.08667,2.17839,9.73291,0.177121,9.58064,1.7149,6.24015,1.80901,0.0427145
1.3,10.5,45,4.45202e-05,0.223326,1.39672,6.27828,2.21269,9.77599,0.18103,9.61623,1.76009,6.43309,1.84386,0.0422961
1.3,10.5,46,6.38073e-05,0.226817,1.39664,6.47061,2.24789,9.81924,0.184935,9.65181,1.80559,6.62673,1.87962,0.0418815
1.3,10.5,47,0.000112028,0.230307,1.39659,6.66364,2.284,9.86269,0.188837,9.68736,1.85139,6.82107,1.91629,0.0414704
1.3,10.5,48,0.245573,0.230263,1.39655,6.85739,2.32103,9.90633,0.192735,9.7229,1.8975,7.01482,1.95331,0.0375281
1.3,10.5,49,0.25,0.230269,1.39653,7.05185,2.35898,9.89813,0.197229,9.70624,1.93956,7.20929,1.99127,0.0330405
1.3,10.75,0,0.5,0.125737,0.349066,-2,1.3,10.75,-3.13098e-32,10.75,-3.19142e-31,-1.60993,1.21141,0.125737
1.3,10.75,1,0.5,0.122246,0.349066,-1.785,1.3,10.7705,0.0524332,10.7557,0.564475,-1.39525,1.21005,0.0698132
1.3,10.75,2,0.5,0.125737,0.349066,-1.56989,1.31129,10.6696,0.0781217,10.6371,0.832682,-1.17982,1.2227,0.0476153
1.3,10.75,3,0.5,0.129228,0.349066,-1.35714,1.32794,10.5318,0.0929315,10.4863,0.977325,-0.966771,1.24071,0.0362962
1.3,10.75,4,0.5,0.132718,0.370622,-1.14742,1.34749,10.3761,0.102052,10.3221,1.05706,-0.758684,1.25322,0.0306665
1.3,10.75,5,0.5,0.136209,0.476161,-0.940975,1.36863,10.2105,0.108196,10.1508,1.10258,-0.563867,1.23525,0.028013
1.3,10.75,6,0.5,0.132718,0.641706,-0.73796,1.39068,10.0384,0.112766,9.97463,1.12959,-0.388665,1.19577,0.0199523
1.3,10.75,7,0.5,0.129228,0.872665,-0.538468,1.41327,9.85419,0.11312,9.79121,1.11233,-0.244009,1.14255,0.0161079
1.3,10.75,8,0.5,0.125737,1.13446,-0.342643,1.43552,9.66262,0.111172,9.60297,1.07201,-0.129468,1.09706,0.0145646
1.3,10.75,9,0.5,0.122246,1.39626,-0.150584,1.45696,9.46579,0.107935,9.41071,1.01971,-0.0336072,1.07445,0.0143116
1.3,10.75,10,0.5,0.118756,1.65806,0.0376303,1.47736,9.26475,0.103939,9.21475,0.961237,0.0502239,1.07755,0.0148166
1.3,10.75,11,0.5,0.115265,1.91986,0.221925,1.49658,9.06001,0.0994647,9.01523,0.899666,0.129255,1.10746,0.0158003
1.3,10.75,12,3.23286e-06,0.111774,2.18166,0.40223,1.51457,8.85183,0.0946561,8.81221,0.836629,0.210779,1.16337,0.0171183
1.3,10.75,13,3.3393e-06,0.108284,2.44346,0.578474,1.53131,8.8614,0.0844955,8.82979,0.747858,0.301638,1.24258,0.0237882
1.3,10.75,14,3.45506e-06,0.111774,2.25035,0.75507,1.54626,8.87587,0.0770722,8.84952,0.683406,0.539966,1.20902,0.0347021
1.3,10.75,15,3.58062e-06,0.115265,2.0879,0.93206,1.55993,8.89872,0.0741154,8.87429,0.658928,0.775615,1.19179,0.0411497
1.3,10.75,16,3.71614e-06,0.118756,1.9514,1.10955,1.57311,8.92736,0.0738646,8.90302,0.658817,1.006,1.18674,0.0448911
1.3,10.75,17,3.86206e-06,0.122246,1.8382,1.28761,1.58629,8.95983,0.0752603,8.93447,0.673683,1.22975,1.19049,0.0469861
1.3,10.75,18,4.01909e-06,0.125737,1.74576,1.4663,1.59976,8.99478,0.0776588,8.96767,0.697822,1.44661,1.20024,0.0480782
1.3,10.75,19,4.18816e-06,0.129228,1.67128,1.64565,1.61372,9.03133,0.0806677,9.00196,0.727746,1.65714,1.21388,0.04856
1.3,10.75,20,4.37042e-06,0.132718,1.61193,1.82569,1.62827,9.06892,0.0840472,9.0369,0.76132,1.86227,1.22995,0.0486712
1.3,10.75,21,4.56725e-06,0.136209,1.565,2.00643,1.6435,9.10719,0.0876508,9.07223,0.797231,2.06304,1.24752,0.0485583
1.3,10.75,22,4.78026e-06,0.1397,1.52808,2.18787,1.65944,9.14593,0.0913889,9.10776,0.834674,2.26043,1.26608,0.0483108
1.3,10.75,23,5.01136e-06,0.14319,1.49914,2.37003,1.67614,9.185,0.0952071,9.1434,0.873157,2.4553,1.28533,0.0479833
1.3,10.75,24,5.2628e-06,0.146681,1.47651,2.55289,1.6936,9.22432,0.0990721,9.17908,0.912379,2.64835,1.30516,0.0476089
1.3,10.75,25,5.53721e-06,0.150172,1.45884,2.73648,1.71185,9.26383,0.102964,9.21477,0.952155,2.84013,1.32551,0.0472079
1.3,10.75,26,5.8377e-06,0.153662,1.44505,2.92077,1.73089,9.30352,0.10687,9.25044,0.992375,3.03109,1.3464,0.0467924
1.3,10.75,27,6.168e-06,0.157153,1.43429,3.10578,1.75074,9.34336,0.110783,9.28608,1.03297,3.22156,1.36786,0.0463699
1.3,10.75,28,6.53252e-06,0.160644,1.4259,3.2915,1.7714,9.38335,0.114699,9.32169,1.0739,3.41183,1.38992,0.0459446
1.3,10.75,29,6.93663e-06,0.164134,1.41936,3.47794,1.79287,9.42348,0.118615,9.35727,1.11515,3.60208,1.41263,0.0455193
1.3,10.75,30,7.38686e-06,0.167625,1.41426,3.66508,1.81518,9.46375,0.12253,9.3928,1.15669,3.79248,1.43601,0.0450955
1.3,10.75,31,7.89122e-06,0.171116,1.41029,3.85294,1.83831,9.50417,0.126442,9.4283,1.19852,3.98317,1.4601,0.0446741
1.3,10.75,32,8.45969e-06,0.174606,1.4072,4.0415,1.86228,9.54474,0.130351,9.46377,1.24064,4.17422,1.48494,0.0442557
1.3,10.75,33,9.10483e-06,0.178097,1.40479,4.23078,1.88709,9.58546,0.134257,9.4992,1.28305,4.36572,1.51054,0.0438404
1.3,10.75,34,9.84268e-06,0.181588,1.40291,4.42076,1.91276,9.62634,0.138159,9.53461,1.32574,4.55773,1.53693,0.0434284
1.3,10.75,35,1.0694e-05,0.185078,1.40144,4.61145,1.93927,9.66737,0.142059,9.56999,1.36872,4.75028,1.56413,0.0430198
1.3,10.75,36,1.16864e-05,0.188569,1.4003,4.80285,1.96664,9.70857,0.145954,9.60535,1.41198,4.94341,1.59215,0.0426146
1.3,10.75,37,1.28569e-05,0.19206,1.39941,4.99496,1.99488,9.74994,0.149847,9.64068,1.45554,5.13716,1.62101,0.0422128
1.3,10.75,38,1.42567e-05,0.19555,1.39872,5.18778,2.02399,9.79148,0.153736,9.676,1.49938,5.33154,1.65072,0.0418142
