u0_opt,u1_opt,u2_opt,x,z,vel
3.32679e-05,0.128213,2.44346,1.37047,10.4312,9.81352
3.48232e-05,0.127341,2.44346,1.46755,10.4456,9.82502
3.65036e-05,0.126468,2.44346,1.56475,10.4599,9.83651
3.83237e-05,0.125595,2.44346,1.66208,10.4742,9.848
4.03005e-05,0.124723,2.44346,1.75953,10.4884,9.85949
4.24538e-05,0.12385,2.44346,1.85711,10.5025,9.87098
4.48066e-05,0.122977,2.44346,1.95481,10.5166,9.88247
4.73862e-05,0.122105,2.44346,2.05263,10.5306,9.89395
5.02249e-05,0.121232,2.44346,2.15058,10.5445,9.90544
5.33613e-05,0.120359,2.44346,2.24866,10.5584,9.91693
5.68419e-05,0.119487,2.44346,2.34686,10.5723,9.92842
6.07232e-05,0.118614,2.44346,2.44518,10.586,9.93991
6.50744e-05,0.117741,2.44346,2.54363,10.5997,9.9514
6.99814e-05,0.116869,2.44346,2.6422,10.6134,9.96288
7.55523e-05,0.115996,2.44346,2.7409,10.627,9.97437
8.19246e-05,0.115123,2.44346,2.83972,10.6405,9.98586
8.92761e-05,0.114251,2.44346,2.93867,10.654,9.99735
9.78412e-05,0.113378,2.44346,3.03774,10.6674,10.0088
0.000107935,0.112505,2.44346,3.13693,10.6808,10.0203
0.000119993,0.111633,2.44346,3.23625,10.6941,10.0318
0.000134631,0.11076,2.44346,3.33569,10.7073,10.0433
0.000152756,0.109887,2.44346,3.43526,10.7205,10.0548
0.000175759,0.109015,2.44346,3.53495,10.7336,10.0663
0.000205893,0.108142,2.44346,3.63476,10.7466,10.0778
0.000247064,0.107269,2.44346,3.7347,10.7596,10.0893
0.000306718,0.106397,2.44346,3.83476,10.7725,10.1007
0.00040109,0.105524,2.44346,3.93495,10.7854,10.1122
0.000574001,0.104651,2.44346,4.03526,10.7982,10.1237
0.00100465,0.103779,2.44346,4.13569,10.8109,10.1352
0.247212,0.103787,2.44346,4.23625,10.8235,10.1467
0.25,0.103791,2.44346,4.33693,10.8361,10.1341
5.08843e-06,0.133295,0.592556,-5,9.5,8.7
5.0078e-06,0.132422,0.349066,-4.913,9.5,8.74932
5.04909e-06,0.133295,0.349066,-4.82554,9.50242,8.79647
5.09843e-06,0.134168,0.349066,-4.73768,9.5068,8.8407
5.15553e-06,0.13504,0.349066,-4.64948,9.51278,8.88154
5.22025e-06,0.135913,0.349066,-4.56096,9.52008,8.91895
5.29256e-06,0.136786,0.349066,-4.47217,9.52846,8.95315
5.3725e-06,0.137658,0.349066,-4.38312,9.53775,8.98446
5.46018e-06,0.138531,0.349066,-4.29384,9.54778,9.01325
5.55578e-06,0.139404,0.349066,-4.20434,9.55845,9.03987
5.65948e-06,0.140277,0.349066,-4.11464,9.56964,9.06468
5.77153e-06,0.141149,0.349066,-4.02474,9.58128,9.08797
5.89221e-06,0.142022,0.349066,-3.93466,9.59331,9.10999
6.02184e-06,0.142895,0.349066,-3.8444,9.60566,9.13099
6.16076e-06,0.143767,0.349066,-3.75397,9.61831,9.15114
6.30933e-06,0.14464,0.349066,-3.66338,9.63122,9.1706
6.46795e-06,0.145513,0.349066,-3.57262,9.64435,9.18951
6.63705e-06,0.146385,0.349066,-3.48169,9.6577,9.20797
6.81706e-06,0.147258,0.349066,-3.39062,9.67123,9.22607
7.00844e-06,0.148131,0.349066,-3.29938,9.68495,9.24389
7.21165e-06,0.149003,0.349066,-3.20799,9.69883,9.26148
7.42714e-06,0.149876,0.349066,-3.11644,9.71287,9.27889
7.65537e-06,0.150749,0.349066,-3.02475,9.72706,9.29615
7.89678e-06,0.151621,0.349066,-2.9329,9.74139,9.31331
8.15174e-06,0.152494,0.349066,-2.8409,9.75587,9.33038
8.42061e-06,0.153367,0.349066,-2.74874,9.77049,9.34739
8.70362e-06,0.154239,0.349066,-2.65644,9.78524,9.36435
9.00096e-06,0.155112,0.349066,-2.56399,9.80012,9.38127
9.31264e-06,0.155985,0.349066,-2.47138,9.81513,9.39817
9.63853e-06,0.156857,0.349066,-2.37863,9.83028,9.41506
