t,north,east,down,vel,roll,pitch,speed,throttle
0.93,151.781,-606.783,-21.9253,14.2248,-34.4006,2.64982,13.7949,0.3
0.94,151.562,-606.385,-21.9509,14.2353,-34.1602,2.62328,13.7949,0.3
0.95,151.349,-605.983,-21.9761,14.2459,-33.8591,2.60073,13.7949,0.3
0.96,151.349,-605.983,-21.9761,14.2459,-33.6633,2.58482,13.7949,0.3
0.97,151.349,-605.983,-21.9761,14.2459,-33.5648,2.57483,13.7949,0.3
0.98,151.142,-605.579,-22.001,14.2577,-33.3126,2.55433,13.8372,0.3
0.99,150.939,-605.171,-22.0255,14.2682,-33.0607,2.53193,13.8372,0.3
1,150.939,-605.171,-22.0255,14.2682,-32.8593,2.51228,13.8372,0.3
1.01,150.939,-605.171,-22.0255,14.2682,-32.7059,2.49702,13.8372,0.3
1.02,150.694,-604.656,-22.0557,14.2831,-32.3987,2.47048,13.8372,0.3
1.03,150.503,-604.242,-22.0796,14.295,-32.0839,2.44761,13.9261,0.3
1.04,150.503,-604.242,-22.0796,14.295,-31.8794,2.43581,13.9261,0.3
1.05,150.318,-603.824,-22.1032,14.306,-31.6685,2.42178,13.9261,0.3
1.06,150.318,-603.824,-22.1032,14.306,-31.4021,2.40359,13.9261,0.3
1.07,150.135,-603.404,-22.1263,14.3181,-31.1324,2.38956,13.9261,0.3
1.08,149.956,-602.982,-22.1491,14.3298,-30.8099,2.37225,13.8193,0.3
1.09,149.956,-602.982,-22.1491,14.3298,-30.5941,2.36598,13.8193,0.3
1.1,149.783,-602.557,-22.1717,14.3436,-30.3227,2.35334,13.8193,0.3
1.11,149.783,-602.557,-22.1717,14.3436,-30.0501,2.33797,13.8193,0.3
1.12,149.614,-602.129,-22.1942,14.3556,-29.7236,2.32369,13.8193,0.3
1.13,149.411,-601.591,-22.2222,14.3716,-29.5064,2.31519,13.9957,0.3
1.14,149.411,-601.591,-22.2222,14.3716,-29.3426,2.30586,13.9957,0.3
1.15,149.254,-601.159,-22.2444,14.3836,-29.072,2.28747,13.9957,0.3
1.16,149.254,-601.159,-22.2444,14.3836,-28.7979,2.27632,13.9957,0.3
1.17,149.102,-600.724,-22.2666,14.397,-28.5277,2.26654,13.9957,0.3
1.18,149.102,-600.724,-22.2666,14.397,-28.2508,2.25543,13.9957,0.3
1.19,148.954,-600.288,-22.2888,14.4096,-27.974,2.24666,14.0386,0.3
1.2,148.811,-599.849,-22.3109,14.4216,-27.6969,2.23568,14.0386,0.3
1.21,148.811,-599.849,-22.3109,14.4216,-27.4188,2.22785,14.0386,0.3
1.22,148.673,-599.409,-22.333,14.4333,-27.1378,2.22177,14.0386,0.3
1.23,148.673,-599.409,-22.333,14.4333,-26.8047,2.21672,14.0386,0.3
1.24,148.506,-598.855,-22.3607,14.4476,-26.6922,2.21655,14.0852,0.3
1.25,148.506,-598.855,-22.3607,14.4476,-26.4132,2.21473,14.0852,0.3
1.26,148.378,-598.411,-22.3829,14.4588,-26.1353,2.21178,14.0852,0.3
1.27,148.252,-597.964,-22.4043,14.471,-25.8537,2.20382,14.0852,0.3
1.28,148.252,-597.964,-22.4043,14.471,-25.5741,2.19227,14.0852,0.3
1.29,148.13,-597.515,-22.4256,14.4818,-25.2926,2.18878,14.162,0.3
1.3,148.13,-597.515,-22.4256,14.4818,-25.0171,2.18828,14.162,0.3
1.31,148.012,-597.065,-22.4472,14.4933,-24.9035,2.18796,14.162,0.3
1.32,148.012,-597.065,-22.4472,14.4933,-24.5113,2.19279,14.162,0.3
1.33,147.899,-596.614,-22.4689,14.5036,-24.3466,2.19019,14.162,0.3
1.34,147.899,-596.614,-22.4689,14.5036,-24.0717,2.18999,14.162,0.3
1.35,147.763,-596.048,-22.4965,14.5154,-23.7363,2.19314,14.0878,0.3
1.36,147.658,-595.594,-22.5189,14.5243,-23.5118,2.1959,14.0878,0.3
1.37,147.658,-595.594,-22.5189,14.5243,-23.3426,2.19774,14.0878,0.3
1.38,147.558,-595.139,-22.5416,14.5326,-23.0124,2.2021,14.0878,0.3
1.39,147.558,-595.139,-22.5416,14.5326,-22.7926,2.20851,14.0878,0.3
1.4,147.462,-594.683,-22.5646,14.5408,-22.515,2.21175,14.1864,0.3
1.41,147.462,-594.683,-22.5646,14.5408,-22.2431,2.21413,14.1864,0.3
1.42,147.37,-594.226,-22.588,14.5495,-21.966,2.2201,14.1864,0.3
1.43,147.281,-593.768,-22.6117,14.5564,-21.6361,2.22727,14.1864,0.3
1.44,147.281,-593.768,-22.6117,14.5564,-21.4188,2.22949,14.1864,0.3
1.45,147.175,-593.195,-22.642,14.5658,-21.1452,2.23629,14.3033,0.3
1.46,147.175,-593.195,-22.642,14.5658,-20.87,2.24454,14.3033,0.3
1.47,147.095,-592.735,-22.6667,14.5726,-20.5997,2.25057,14.3033,0.3
1.48,147.017,-592.272,-22.6907,14.579,-20.3252,2.25717,14.3033,0.3
1.49,147.017,-592.272,-22.6907,14.579,-20.0562,2.26568,14.3033,0.3
1.5,146.943,-591.808,-22.7148,14.5863,-19.7852,2.28058,14.105,0.3
1.51,146.943,-591.808,-22.7148,14.5863,-19.5141,2.29744,14.105,0.3
1.52,146.872,-591.343,-22.7395,14.5928,-19.2439,2.30599,14.105,0.3
1.53,146.872,-591.343,-22.7395,14.5928,-19.0354,2.31686,14.105,0.3
1.54,146.804,-590.878,-22.7647,14.5988,-18.7171,2.3268,14.105,0.3
1.55,146.724,-590.296,-22.797,14.6057,-18.5065,2.33555,14.3162,0.3
1.56,146.724,-590.296,-22.797,14.6057,-18.2434,2.34502,14.3162,0.3
1.57,146.663,-589.831,-22.8235,14.6115,-17.9835,2.35596,14.3162,0.3
1.58,146.663,-589.831,-22.8235,14.6115,-17.6656,2.3721,14.3162,0.3
1.59,146.606,-589.365,-22.8507,14.6172,-17.5626,2.37866,14.3162,0.3
1.6,146.606,-589.365,-22.8507,14.6172,-17.3058,2.39631,14.3162,0.3
1.61,146.551,-588.898,-22.8785,14.6211,-17.0504,2.40858,14.1829,0.3
1.62,146.499,-588.432,-22.9068,14.6262,-16.79,2.41995,14.1829,0.3
1.63,146.499,-588.432,-22.9068,14.6262,-16.535,2.43078,14.1829,0.3
1.64,146.449,-587.965,-22.9356,14.6292,-16.2831,2.44062,14.1829,0.3
1.65,146.449,-587.965,-22.9356,14.6292,-16.0362,2.45555,14.1829,0.3
1.66,146.392,-587.381,-22.9724,14.6335,-15.7846,2.47004,14.2672,0.3
1.67,146.348,-586.914,-23.0024,14.637,-15.5364,2.47724,14.2672,0.3
1.68,146.348,-586.914,-23.0024,14.637,-15.2951,2.48665,14.2672,0.3
1.69,146.308,-586.443,-23.0323,14.64,-15.0555,2.49697,14.2672,0.3
1.7,146.308,-586.443,-23.0323,14.64,-14.8199,2.5051,14.2672,0.3
1.71,146.271,-585.971,-23.0626,14.6438,-14.5793,2.51262,14.4616,0.3
1.72,146.236,-585.5,-23.0934,14.6466,-14.3415,2.52327,14.4616,0.3
1.73,146.236,-585.5,-23.0934,14.6466,-14.2032,2.53375,14.4616,0.3
1.74,146.203,-585.029,-23.1248,14.6498,-13.9726,2.54936,14.4616,0.3
1.75,146.203,-585.029,-23.1248,14.6498,-13.7404,2.56072,14.4616,0.3
1.76,146.165,-584.44,-23.1647,14.6517,-13.508,2.57424,14.3704,0.3
1.77,146.165,-584.44,-23.1647,14.6517,-13.2769,2.58402,14.3704,0.3
1.78,146.137,-583.969,-23.1972,14.6541,-13.0514,2.59358,14.3704,0.3
1.79,146.11,-583.498,-23.2303,14.6559,-12.7801,2.60638,14.3704,0.3
1.8,146.11,-583.498,-23.2303,14.6559,-12.5999,2.62146,14.3704,0.3
1.81,146.086,-583.028,-23.2639,14.6563,-12.3769,2.63961,14.2825,0.3
1.82,146.086,-583.028,-23.2639,14.6563,-12.1517,2.65864,14.2825,0.3
1.83,146.064,-582.557,-23.2981,14.6551,-11.9327,2.67755,14.2825,0.3
1.84,146.044,-582.087,-23.3327,14.6552,-11.7183,2.6935,14.2825,0.3
1.85,146.044,-582.087,-23.3327,14.6552,-11.5044,2.7092,14.2825,0.3
1.86,146.02,-581.499,-23.3768,14.6563,-11.296,2.72154,14.3982,0.3
1.87,146.02,-581.499,-23.3768,14.6563,-11.0847,2.73471,14.3982,0.3
1.88,146.004,-581.029,-23.4126,14.6566,-10.9237,2.74118,14.3982,0.3
1.89,146.004,-581.029,-23.4126,14.6566,-10.7224,2.75902,14.3982,0.3
1.9,145.989,-580.557,-23.4475,14.657,-10.521,2.77474,14.3982,0.3
1.91,145.977,-580.085,-23.4824,14.6588,-10.3229,2.78819,14.4039,0.3
1.92,145.977,-580.085,-23.4824,14.6588,-10.0843,2.80411,14.4039,0.3
1.93,145.966,-579.613,-23.5179,14.6595,-9.92726,2.81259,14.4039,0.3
1.94,145.966,-579.613,-23.5179,14.6595,-9.77264,2.82383,14.4039,0.3
1.95,145.956,-579.141,-23.554,14.6599,-9.62475,2.83264,14.4039,0.3
1.96,145.956,-579.141,-23.554,14.6599,-9.4343,2.84636,14.4039,0.3
1.97,145.946,-578.551,-23.5998,14.6593,-9.2414,2.85764,14.2835,0.3
1.98,145.939,-578.079,-23.6371,14.6596,-9.05855,2.87072,14.2835,0.3
1.99,145.939,-578.079,-23.6371,14.6596,-8.8742,2.88584,14.2835,0.3
2,145.935,-577.606,-23.6742,14.6599,-8.69684,2.90304,14.2835,0.3
2.01,145.935,-577.606,-23.6742,14.6599,-8.52017,2.91247,14.2835,0.3
2.02,145.932,-577.132,-23.7117,14.6617,-8.34356,2.92155,14.3611,0.3
2.03,145.931,-576.658,-23.7498,14.6621,-8.16994,2.932,14.3611,0.3
2.04,145.931,-576.658,-23.7498,14.6621,-8.00056,2.94667,14.3611,0.3
2.05,145.93,-576.185,-23.7884,14.662,-7.83465,2.95651,14.3611,0.3
2.06,145.93,-576.185,-23.7884,14.662,-7.73458,2.96539,14.3611,0.3
2.07,145.931,-575.595,-23.8373,14.6632,-7.56893,2.97707,14.2909,0.3
2.08,145.931,-575.595,-23.8373,14.6632,-7.40491,2.98524,14.2909,0.3
2.09,145.933,-575.123,-23.877,14.6638,-7.241,2.99292,14.2909,0.3
2.1,145.935,-574.651,-23.9169,14.6634,-7.08232,3.00638,14.2909,0.3
2.11,145.935,-574.651,-23.9169,14.6634,-6.92772,3.01019,14.2909,0.3
2.12,145.939,-574.18,-23.9573,14.6638,-6.74283,3.01926,14.3876,0.3
2.13,145.939,-574.18,-23.9573,14.6638,-6.61649,3.02716,14.3876,0.3
2.14,145.943,-573.709,-23.9982,14.6627,-6.46376,3.03708,14.3876,0.3
2.15,145.949,-573.238,-24.0394,14.6625,-6.32,3.04668,14.3876,0.3
2.16,145.949,-573.238,-24.0394,14.6625,-6.17146,3.05757,14.3876,0.3
2.17,145.956,-572.65,-24.0914,14.6622,-6.02841,3.06317,14.404,0.3
2.18,145.956,-572.65,-24.0914,14.6622,-5.91422,3.07277,14.404,0.3
2.19,145.963,-572.179,-24.1334,14.6605,-5.77292,3.08055,14.404,0.3
2.2,145.963,-572.179,-24.1334,14.6605,-5.63213,3.09478,14.404,0.3
2.21,145.972,-571.706,-24.1757,14.6592,-5.49655,3.10353,14.404,0.3
2.22,145.983,-571.233,-24.2184,14.6593,-5.34017,3.10777,14.4524,0.3
2.23,145.983,-571.233,-24.2184,14.6593,-5.24036,3.11035,14.4524,0.3
2.24,145.993,-570.76,-24.2614,14.6594,-5.16401,3.11239,14.4524,0.3
2.25,145.993,-570.76,-24.2614,14.6594,-5.0375,3.1197,14.4524,0.3
2.26,146.005,-570.288,-24.3046,14.658,-4.91248,3.13092,14.4524,0.3
2.27,146.005,-570.288,-24.3046,14.658,-4.79157,3.14094,14.4524,0.3
2.28,146.019,-569.699,-24.359,14.6566,-4.67187,3.14693,14.4779,0.3
2.29,146.032,-569.227,-24.4029,14.6556,-4.5474,3.15165,14.4779,0.3
2.3,146.032,-569.227,-24.4029,14.6556,-4.43093,3.16401,14.4779,0.3
2.31,146.045,-568.757,-24.447,14.6519,-4.3161,3.16999,14.4779,0.3
2.32,146.045,-568.757,-24.447,14.6519,-4.17116,3.1837,14.4779,0.3
2.33,146.058,-568.286,-24.4914,14.6513,-4.08211,3.1887,14.3292,0.3
2.34,146.058,-568.286,-24.4914,14.6513,-3.98818,3.19117,14.3292,0.3
2.35,146.072,-567.816,-24.5361,14.6489,-3.89845,3.19741,14.3292,0.3
2.36,146.086,-567.346,-24.5809,14.6462,-3.78721,3.2064,14.3292,0.3
2.37,146.086,-567.346,-24.5809,14.6462,-3.68449,3.21403,14.3292,0.3
2.38,146.104,-566.759,-24.6371,14.6438,-3.58023,3.21939,14.3475,0.3
2.39,146.104,-566.759,-24.6371,14.6438,-3.47936,3.23068,14.3475,0.3
2.4,146.119,-566.29,-24.6822,14.6427,-3.37796,3.23805,14.3475,0.3
2.41,146.136,-565.819,-24.7275,14.6414,-3.26495,3.24004,14.3475,0.3
2.42,146.136,-565.819,-24.7275,14.6414,-3.18917,3.2431,14.3475,0.3
2.43,146.153,-565.346,-24.7729,14.6417,-3.09346,3.24214,14.2537,0.3
2.44,146.153,-565.346,-24.7729,14.6417,-3.00245,3.24266,14.2537,0.3
2.45,146.171,-564.875,-24.8184,14.6411,-2.89008,3.24364,14.2537,0.3
2.46,146.188,-564.404,-24.864,14.6403,-2.80816,3.24653,14.2537,0.3
2.47,146.188,-564.404,-24.864,14.6403,-2.73723,3.2456,14.2537,0.3
2.48,146.211,-563.815,-24.9212,14.6395,-2.6539,3.24479,14.4387,0.3
2.49,146.211,-563.815,-24.9212,14.6395,-2.58821,3.24529,14.4387,0.3
2.5,146.229,-563.344,-24.9671,14.6372,-2.50775,3.24917,14.4387,0.3
2.51,146.229,-563.344,-24.9671,14.6372,-2.4283,3.24831,14.4387,0.3
2.52,146.247,-562.874,-25.0131,14.6357,-2.35421,3.24672,14.4387,0.3
2.53,146.27,-562.287,-25.0707,14.6351,-2.25613,3.25053,14.3399,0.3
2.54,146.27,-562.287,-25.0707,14.6351,-2.19326,3.25453,14.3399,0.3
2.55,146.284,-561.936,-25.1053,14.6339,-2.11634,3.2562,14.3399,0.3
2.56,146.284,-561.936,-25.1053,14.6339,-2.07145,3.25432,14.3399,0.3
2.57,146.303,-561.467,-25.1515,14.633,-2.00147,3.25307,14.3399,0.3
2.58,146.303,-561.467,-25.1515,14.633,-1.92931,3.24702,14.3399,0.3
2.59,146.327,-560.881,-25.2092,14.6332,-1.85919,3.24764,14.4062,0.3
2.6,146.346,-560.412,-25.2554,14.6294,-1.79204,3.24669,14.4062,0.3
2.61,146.346,-560.412,-25.2554,14.6294,-1.72769,3.25085,14.4062,0.3
2.62,146.365,-559.941,-25.3021,14.6294,-1.66509,3.24918,14.4062,0.3
2.63,146.365,-559.941,-25.3021,14.6294,-1.60569,3.2473,14.4062,0.3
