z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10.25,23,0.5,0.123446,0.90257,-0.551282,1.74339,7.61769,0.0991479,7.58028,0.754041,-0.26667,1.46233,0.0242984
1.3,10.25,24,0.5,0.119956,1.0762,-0.399677,1.75847,7.38612,0.0930721,7.35415,0.686449,-0.169038,1.43166,0.0268836
1.3,10.25,25,0.5,0.116465,1.26747,-0.252594,1.7722,7.15138,0.0866622,7.12454,0.618978,-0.0895648,1.40693,0.0298028
1.3,10.25,26,0.5,0.112974,1.46996,-0.110103,1.78458,6.91354,0.0798835,6.8915,0.551691,-0.0252292,1.39369,0.0330908
1.3,10.25,27,0.335784,0.109484,1.67572,0.027727,1.79561,6.6727,0.0726887,6.65508,0.484603,0.0295516,1.39562,0.0367949
1.3,10.25,28,4.50227e-07,0.105993,1.87644,0.160829,1.80531,6.56736,0.0613038,6.55502,0.402352,0.0814985,1.41325,0.0446892
1.3,10.25,29,3.22471e-07,0.102502,2.07195,0.291929,1.81335,6.57975,0.0486493,6.57196,0.319974,0.136659,1.44472,0.0538529
1.3,10.25,30,2.69902e-07,0.0990116,2.26229,0.423368,1.81975,6.59781,0.0388517,6.59283,0.256272,0.199998,1.48793,0.0601599
1.3,10.25,31,3.08241e-07,0.0955209,2.44346,0.555225,1.82488,6.62011,0.0311109,6.6169,0.205925,0.274726,1.53971,0.06441
1.3,10.25,32,4.05582e-07,0.0920303,2.24988,0.687563,1.829,6.64549,0.0248512,6.64344,0.165131,0.465998,1.49597,0.0671791
1.3,10.25,33,0.0287284,0.0885396,2.08643,0.820432,1.8323,6.67305,0.0196559,6.67176,0.131156,0.654742,1.46823,0.0688837
1.3,10.25,34,0.167259,0.0850489,1.94846,0.953867,1.83492,6.70128,0.0152358,6.7005,0.102095,0.838485,1.45193,0.0698132
1.3,10.25,35,0.16748,0.0815583,1.83357,1.08788,1.83697,6.70288,0.0117451,6.70242,0.0787241,1.01579,1.44351,0.0698132
1.3,10.25,36,0.167697,0.0780676,1.73939,1.22193,1.83854,6.7045,0.00825442,6.70427,0.0553411,1.18576,1.44018,0.0698132
1.3,10.25,37,0.167904,0.0745769,1.66333,1.35601,1.83965,6.70613,0.00476375,6.70606,0.0319462,1.34883,1.43971,0.0698132
1.3,10.25,38,0.168092,0.0710863,1.60268,1.49013,1.84029,6.70779,0.00127308,6.70778,0.00853954,1.50581,1.44059,0.0698132
1.3,10.25,39,0.168232,0.0675956,1.55489,1.62429,1.84046,6.70947,-0.00221759,6.70945,-0.0148788,1.65765,1.44185,0.0698132
1.3,10.25,40,0.168258,0.0641049,1.51755,1.75848,1.84016,6.7112,-0.00570826,6.71109,-0.038309,1.80531,1.44291,0.0698132
1.3,10.25,41,0.167989,0.0606143,1.48858,1.8927,1.83939,6.71301,-0.00919893,6.71272,-0.0617516,1.94964,1.44347,0.0698132
1.3,10.25,42,0.166868,0.0571236,1.46621,2.02695,1.83816,6.71501,-0.0126896,6.71446,-0.0852084,2.09135,1.44338,0.0698132
1.3,10.25,43,0.162932,0.0536329,1.44905,2.16124,1.83645,6.71748,-0.0161803,6.7166,-0.108686,2.23104,1.44259,0.0698132
1.3,10.25,44,0.147403,0.0501422,1.43598,2.29557,1.83428,6.72139,-0.0196709,6.72009,-0.132207,2.36914,1.4411,0.0698132
1.3,10.25,45,3.07231e-05,0.0466516,1.42617,2.42998,1.83164,6.73033,-0.0231616,6.72852,-0.155871,2.50602,1.43893,0.0698132
1.3,10.25,46,3.88077e-05,0.0431609,1.41898,2.56455,1.82852,6.76159,-0.0266523,6.75919,-0.18019,2.64204,1.4361,0.0698132
1.3,10.25,47,6.75449e-05,0.0399392,1.41396,2.69973,1.82491,6.79318,-0.029874,6.79015,-0.202909,2.77793,1.43263,0.0698132
1.3,10.25,48,0.185893,0.0366688,1.41078,2.83553,1.82086,6.82507,-0.0328266,6.82139,-0.224003,2.9137,1.42857,0.0694954
1.3,10.25,49,0.214619,0.0336748,1.40924,2.97196,1.81638,6.822,-0.0356048,6.81767,-0.242844,3.04956,1.42397,0.0692796
1.3,10.5,0,7.63225e-08,0.116099,0.349066,-5,1.3,10.5,-4.56095e-41,10.5,-4.42772e-40,-4.61081,1.20765,0.116099
1.3,10.5,1,7.81891e-08,0.112608,0.349066,-4.79,1.3,10.6782,0.0427948,10.6684,0.45683,-4.40113,1.2063,0.0698132
1.3,10.5,2,8.91737e-08,0.116099,0.349066,-4.57663,1.30914,10.7679,0.0644294,10.7456,0.693293,-4.18744,1.21679,0.0516692
1.3,10.5,3,1.05121e-07,0.119589,0.349066,-4.36172,1.323,10.8315,0.077658,10.7988,0.840307,-3.97221,1.23202,0.0419313
1.3,10.5,4,1.31756e-07,0.12308,0.349066,-4.14574,1.33981,10.8827,0.0863763,10.8422,0.938842,-3.75591,1.25018,0.0367036
1.3,10.5,5,1.91514e-07,0.126571,0.349066,-3.9289,1.35859,10.928,0.0927113,10.8811,1.0117,-3.53876,1.27032,0.0338593
1.3,10.5,6,0.459082,0.130061,0.349066,-3.71128,1.37882,10.9704,0.0977986,10.9179,1.07118,-3.32083,1.29192,0.0322627
1.3,10.5,7,0.5,0.133552,0.349066,-3.49292,1.40024,10.8507,0.105741,10.7901,1.14522,-3.10217,1.3147,0.0278114
1.3,10.5,8,0.5,0.137043,0.349066,-3.27712,1.42315,10.6932,0.111954,10.6263,1.19465,-2.88608,1.33897,0.0250885
1.3,10.5,9,0.5,0.140533,0.349066,-3.06459,1.44704,10.5293,0.116552,10.4579,1.22443,-2.67326,1.36423,0.0239817
1.3,10.5,10,0.5,0.144024,0.349066,-2.85544,1.47153,10.3607,0.120314,10.2858,1.24353,-2.46381,1.39009,0.0237099
1.3,10.5,11,0.5,0.147515,0.349066,-2.64972,1.4964,10.1882,0.123632,10.1104,1.25638,-2.25782,1.41632,0.0238825
1.3,10.5,12,0.5,0.151005,0.349066,-2.44751,1.52153,10.0122,0.126702,9.93199,1.26518,-2.05533,1.44282,0.0243031
1.3,10.5,13,0.5,0.151037,0.349066,-2.24887,1.54683,9.83304,0.129624,9.75054,1.27103,-1.85669,1.46814,0.0214134
1.3,10.5,14,0.5,0.147546,0.349066,-2.05386,1.57225,9.64688,0.130815,9.56446,1.25836,-1.66196,1.49219,0.0167319
1.3,10.5,15,0.5,0.144056,0.349066,-1.86257,1.59742,9.45219,0.12939,9.37318,1.21961,-1.47095,1.51599,0.0146656
1.3,10.5,16,0.5,0.140565,0.349066,-1.67511,1.62181,9.25159,0.126477,9.17769,1.16699,-1.28377,1.53901,0.0140885
1.3,10.5,17,0.5,0.137074,0.365662,-1.49155,1.64515,9.04637,0.12268,8.97838,1.10702,-1.10196,1.55451,0.0143947
1.3,10.5,18,0.5,0.133584,0.409836,-1.31199,1.66729,8.83717,0.118324,8.77538,1.04322,-0.927153,1.55819,0.0152594
1.3,10.5,19,0.5,0.130093,0.479014,-1.13648,1.68816,8.62434,0.113582,8.56877,0.977469,-0.760582,1.5514,0.0165107
1.3,10.5,20,0.5,0.126602,0.573096,-0.965103,1.7077,8.40807,0.108541,8.35859,0.91083,-0.604317,1.53498,0.0180615
1.3,10.5,21,0.5,0.123112,0.69284,-0.797932,1.72592,8.18848,0.10324,8.14488,0.843875,-0.461113,1.51016,0.019872
1.3,10.5,22,0.5,0.119621,0.838641,-0.635034,1.7428,7.96562,0.0976899,7.92764,0.776923,-0.334053,1.47934,0.0219312
1.3,10.5,23,0.5,0.11613,1.00952,-0.476481,1.75834,7.73956,0.0918847,7.70691,0.710146,-0.22577,1.44666,0.0242458
1.3,10.5,24,0.5,0.11264,1.20233,-0.322343,1.77254,7.51034,0.0858048,7.48271,0.643633,-0.137241,1.41795,0.026835
1.3,10.5,25,0.5,0.109149,1.41151,-0.172689,1.78541,7.27804,0.0794211,7.2551,0.577423,-0.0665985,1.39974,0.029728
1.3,10.5,26,0.5,0.105658,1.62936,-0.027587,1.79696,7.0427,0.0726953,7.0241,0.51152,-0.00875755,1.3974,0.0329632
1.3,10.5,27,0.5,0.102168,1.84727,0.112895,1.80719,6.80441,0.0655795,6.78978,0.44591,0.0435253,1.41325,0.0365882
1.3,10.5,28,3.77849e-07,0.0986771,2.05718,0.248691,1.81611,6.56327,0.0580159,6.55222,0.38056,0.0974634,1.4458,0.0406613
1.3,10.5,29,2.15878e-07,0.0951864,2.25309,0.379735,1.82372,6.57408,0.0441362,6.56768,0.290061,0.158153,1.4907,0.0510502
1.3,10.5,30,2.26504e-07,0.0916958,2.44346,0.511089,1.82952,6.59095,0.0334703,6.58726,0.22056,0.229502,1.54543,0.0582255
1.3,10.5,31,2.44731e-07,0.0882051,2.25036,0.642834,1.83393,6.61238,0.0251138,6.6103,0.166045,0.419839,1.50186,0.0630913
1.3,10.5,32,2.79674e-07,0.0847144,2.08793,0.77504,1.83725,6.63717,0.0184181,6.63604,0.122237,0.607414,1.47407,0.0662963
1.3,10.5,33,3.68242e-07,0.0812238,1.95145,0.907761,1.8397,6.66434,0.012915,6.66378,0.0860676,0.789771,1.4575,0.0683088
1.3,10.5,34,0.128271,0.0777331,1.8383,1.04104,1.84142,6.69317,0.00826546,6.69294,0.0553215,0.965583,1.4486,0.0694676
1.3,10.5,35,0.167791,0.0742424,1.74591,1.1749,1.84253,6.70635,0.00442926,6.70629,0.0297041,1.13461,1.44456,0.0698132
1.3,10.5,36,0.167854,0.0707518,1.67152,1.30902,1.84312,6.70806,0.000938589,6.70805,0.0062961,1.29703,1.4433,0.0698132
1.3,10.5,37,0.16773,0.0672611,1.61227,1.44318,1.84325,6.70983,-0.00255208,6.70981,-0.017124,1.4535,1.44338,0.0698132
