u0_opt,u1_opt,u2_opt
0.279877,0.137826,0.349066
0.5,0.141317,0.349066
0.5,0.144807,0.349066
0.5,0.145324,0.349066
0.5,0.141833,0.349066
0.5,0.138343,0.349066
0.5,0.134852,0.349066
0.5,0.131361,0.349066
0.5,0.127871,0.349066
0.5,0.12438,0.349066
0.5,0.120889,0.349066
0.5,0.117399,0.364206
0.5,0.113908,0.41411
0.5,0.110417,0.495823
0.5,0.106927,0.609857
0.5,0.103436,0.757829
0.5,0.0999453,0.940594
0.5,0.0964547,1.15662
0.5,0.092964,1.40081
0.5,0.0894733,1.66261
0.5,0.0859827,1.92441
2.55224e-06,0.082492,2.18621
2.67478e-06,0.0790013,2.44346
2.80958e-06,0.082492,2.25035
2.95896e-06,0.0859827,2.08791
3.12487e-06,0.0894733,1.9514
3.30978e-06,0.092964,1.83822
3.51679e-06,0.0964547,1.74578
3.74983e-06,0.0999453,1.67132
4.01388e-06,0.103436,1.61198
4.31537e-06,0.106927,1.56506
4.66263e-06,0.110417,1.52817
5.06674e-06,0.113908,1.49926
5.54264e-06,0.117399,1.47666
6.11106e-06,0.120889,1.45903
6.80155e-06,0.12438,1.4453
7.65771e-06,0.127871,1.43462
8.74672e-06,0.131361,1.42632
1.01777e-05,0.134852,1.41991
1.21406e-05,0.138343,1.41496
1.49986e-05,0.141833,1.41119
1.95448e-05,0.145324,1.40835
2.7924e-05,0.148815,1.40627
4.89166e-05,0.152305,1.40481
0.250482,0.152149,1.40389
0.25,0.152083,1.40344
1.18527e-07,0.134782,0.349066
1.2788e-07,0.131292,0.349066
1.60628e-07,0.134782,0.349066
2.33276e-07,0.138273,0.349066
0.31072,0.141764,0.349066
0.5,0.145254,0.349066
0.5,0.145253,0.349066
0.5,0.141763,0.349066
0.5,0.138272,0.349066
0.5,0.134781,0.349066
0.5,0.131291,0.349066
0.5,0.1278,0.349066
0.5,0.124309,0.349066
0.5,0.120819,0.349066
0.5,0.117328,0.34989
0.5,0.113837,0.390363
0.5,0.110347,0.46555
0.5,0.106856,0.575623
0.5,0.103365,0.722856
0.5,0.0998745,0.909377
0.5,0.0963839,1.13515
0.5,0.0928932,1.39626
0.5,0.0894025,1.65806
0.5,0.0859118,1.91986
2.54521e-06,0.0824212,2.18166
2.66422e-06,0.0789305,2.44346
2.79502e-06,0.0824212,2.25035
2.93954e-06,0.0859118,2.0879
3.09941e-06,0.0894025,1.9514
3.27674e-06,0.0928932,1.83821
3.47418e-06,0.0963839,1.74577
3.69508e-06,0.0998745,1.6713
3.94364e-06,0.103365,1.61196
4.22521e-06,0.106856,1.56504
4.54662e-06,0.110347,1.52813
